run	biosample	bioproject_origen	organism	isolate	collection_date	geo_loc_name	isolation_source	host	collected_by	platform	st_pasteur	kl	ocl	carbapenemasas
ERR17057711	SAMEA121030854	PRJEB107069	Acinetobacter baumannii	PDT003192458.1	2020	Colombia	pleural fluid	Homo sapiens	GHRU Colombia	ILLUMINA	78	KL3	OCL1	blaOXA-23
ERR17057712	SAMEA121030855	PRJEB107069	Acinetobacter baumannii	PDT003197849.1	2021	Colombia	blood	Homo sapiens	GHRU Colombia	ILLUMINA	78	KL3	OCL1	blaOXA-23
ERR17057713	SAMEA121030856	PRJEB107069	Acinetobacter baumannii	PDT003192474.1	2020	Colombia	lower respiratory track	Homo sapiens	GHRU Colombia	ILLUMINA	78	KL3	OCL1	blaOXA-23
ERR17057714	SAMEA121030857	PRJEB107069	Acinetobacter baumannii	PDT003197850.1	2020	Colombia	tissue secretion	Homo sapiens	GHRU Colombia	ILLUMINA	2284	KL15	OCL1	ninguna
ERR17057715	SAMEA121030858	PRJEB107069	Acinetobacter baumannii	PDT003192459.1	2020	Colombia	lower respiratory track	Homo sapiens	GHRU Colombia	ILLUMINA	150	KL97	OCL6	ninguna
ERR17057720	SAMEA121030862	PRJEB107069	Acinetobacter baumannii	PDT003192485.1	2020	Colombia	lower respiratory track	Homo sapiens	GHRU Colombia	ILLUMINA	32	KL2	OCL6	ninguna
ERR17057721	SAMEA121030863	PRJEB107069	Acinetobacter baumannii	PDT003197868.1	2020	Colombia	tissue	Homo sapiens	GHRU Colombia	ILLUMINA	1357	KL121	OCL1	ninguna
ERR17057724	SAMEA121030866	PRJEB107069	Acinetobacter baumannii	PDT003192462.1	2021	Colombia	blood	Homo sapiens	GHRU Colombia	ILLUMINA	78	KL23	OCL1	blaOXA-23
ERR17057729	SAMEA121030868	PRJEB107069	Acinetobacter baumannii	PDT003197884.1	2021	Colombia	lower respiratory track	Homo sapiens	GHRU Colombia	ILLUMINA	1405	KL48	OCL21	ninguna
ERR17057730	SAMEA121030869	PRJEB107069	Acinetobacter baumannii	PDT003192488.1	2021	Colombia	blood	Homo sapiens	GHRU Colombia	ILLUMINA	79	KL151	OCL10	blaOXA-23
ERR17057731	SAMEA121030870	PRJEB107069	Acinetobacter baumannii	PDT003192475.1	2021	Colombia	tissue	Homo sapiens	GHRU Colombia	ILLUMINA	79	KL151	OCL10	blaOXA-23
ERR17057733	SAMEA121030871	PRJEB107069	Acinetobacter baumannii	PDT003192489.1	2021	Colombia	sputum	Homo sapiens	GHRU Colombia	ILLUMINA	108	KL33	OCL1	ninguna
ERR17057735	SAMEA121030872	PRJEB107069	Acinetobacter baumannii	PDT003192476.1	2021	Colombia	pleural fluid	Homo sapiens	GHRU Colombia	ILLUMINA	108	KL23	OCL1	ninguna
ERR17057736	SAMEA121030873	PRJEB107069	Acinetobacter baumannii	PDT003197869.1	2021	Colombia	Tracheal Aspirate/Wash	Homo sapiens	GHRU Colombia	ILLUMINA	424	KL48	OCL5	ninguna
ERR17057737	SAMEA121030874	PRJEB107069	Acinetobacter baumannii	PDT003192490.1	2021	Colombia	lower respiratory track	Homo sapiens	GHRU Colombia	ILLUMINA	464	KL121	OCL6	blaNDM-1
ERR17057738	SAMEA121030875	PRJEB107069	Acinetobacter baumannii	PDT003192466.1	2021	Colombia	blood	Homo sapiens	GHRU Colombia	ILLUMINA	464	KL121	OCL6	blaNDM-1
ERR17057744	SAMEA121030877	PRJEB107069	Acinetobacter baumannii	PDT003192492.1	2021	Colombia	blood	Homo sapiens	GHRU Colombia	ILLUMINA	1094	KL145	OCL5	ninguna
ERR4436639	SAMEA7171693	PRJEB27899	Acinetobacter baumannii	PDT000807445.1	NA	Argentina		Homo sapiens		ILLUMINA	25	KL81	OCL10	blaOXA-23
ERR4436640	SAMEA7171694	PRJEB27899	Acinetobacter baumannii	PDT000812692.1	NA	Argentina		Homo sapiens		ILLUMINA	15	KL22	OCL7	ninguna
ERR4436744	SAMEA7171849	PRJEB27899	Acinetobacter baumannii	PDT000807449.1	NA	Colombia		Homo sapiens		ILLUMINA	79	KL151	OCL10	blaOXA-23
ERR5709464	SAMEA8563551	PRJEB39593	Acinetobacter baumannii	PDT001008949.1	NA	Bolivia		Homo sapiens		ILLUMINA	15	KL9	OCL7	blaOXA-23
ERR5709466	SAMEA8563573	PRJEB39593	Acinetobacter baumannii	PDT001008950.1	NA	Chile		Homo sapiens		ILLUMINA	15	KL9	OCL7	ninguna
ERR5709481	SAMEA8563656	PRJEB39593	Acinetobacter baumannii	PDT001009049.1	NA	Argentina		Homo sapiens		ILLUMINA	15	KL9	OCL7	blaOXA-58
SRR35795686	SAMN51434872	PRJNA1322038	Acinetobacter baumannii	PDT003050430.1	2019-12-31	Colombia	hospital	Homo sapiens	IHMA	ILLUMINA	345	KL54	OCL6	ninguna
SRR37377127	SAMN40283129	PRJNA1015678	Acinetobacter baumannii	PDT002814864.2	2012-10	Peru	wound	Homo sapiens		ILLUMINA	158	KL6	OCL1	ninguna
SRR37377138	SAMN40283130	PRJNA1015678	Acinetobacter baumannii	PDT002814878.2	2013-05	Peru	wound	Homo sapiens		ILLUMINA	158	KL6	OCL1	ninguna
SRR37377149	SAMN40283131	PRJNA1015678	Acinetobacter baumannii	PDT002814889.2	2016-03	Peru		Homo sapiens		ILLUMINA	158	KL6	OCL1	ninguna
SRR37377150	SAMN40283132	PRJNA1015678	Acinetobacter baumannii	PDT002814890.2	2016-03	Peru		Homo sapiens		ILLUMINA	158	KL6	OCL1	ninguna
