#Organism group	BioProject	BioSample	Strain	Isolate	Isolate identifiers	Assembly	Run	Location	Lat/Lon	Collection date	Isolation source	Isolation type	Collected by	Host	Create date	AMR genotypes	AST phenotypes	Length	Contigs	N50	Platform	SNP cluster	Min-diff	Scientific name	Computed types	Virulence genotypes	Host disease
Klebsiella pneumoniae	PRJNA176122	SAMN01939166	JHCK	PDT000011670.2	"JHCK","MTE2","SRS399118"	GCA_000316265.2		Argentina	34.0000 S 64.0000 W	1980	cerebrospinal fluid	clinical	Tolmasky	human (infant)	2013-04-05T19:54:00Z	aac(3)-IIe=COMPLETE,aac(6')-Ib=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaOXA-9=COMPLETE,blaSCO-1=COMPLETE,blaSHV-28=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA8=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE		6015282	227	129981				Klebsiella pneumoniae JHCK1			pneumonae
Klebsiella pneumoniae	PRJNA315168	SAMN04550335	E9	PDT000134610.1	"E9","Enterobacter aerogenes E9","SRS1659868"	GCA_001662715.1		Brazil	25 S 49 W	2012-01-31	urine	clinical	Jussara Kasuko Palmeiro	Homo sapiens	2016-06-15T14:08:28Z	aac(6')-Ib=COMPLETE,aadA1=COMPLETE,aadA2=COMPLETE,ampC_Kaer-1=COMPLETE,blaOXA-9=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,cmlA4=COMPLETE,dfrA15=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE		5637471	157	86014				Klebsiella aerogenes		clbB=COMPLETE,clbN=COMPLETE,iroB=COMPLETE,iroC=COMPLETE,iroN=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	not collected
Klebsiella pneumoniae	PRJNA310023	SAMN04445568	C10	PDT000134611.1	"C10","Enterobacter aerogenes strain C10","SRS1659708"	GCA_001662765.1		Brazil: Curitiba	25 S 49 W	2007-09-28	blood	clinical	Jussara Kasuko Palmeiro	Homo sapiens	2016-06-15T14:08:38Z	aac(3)-IIe=COMPLETE,aac(6')-Ib3=COMPLETE,aadA1=COMPLETE,ampC_Kaer-1=COMPLETE,blaCTX-M-2=COMPLETE,blaOXA-2=COMPLETE,blaOXA-9=COMPLETE,blaTEM-1=COMPLETE,blaTEM=PARTIAL,catA2=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,ompK35_Y121LfsTer3=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrS1=COMPLETE,sul1=COMPLETE		5833521	155	88103				Klebsiella aerogenes		clbB=COMPLETE,clbN=COMPLETE,iroB=COMPLETE,iroC=COMPLETE,iroN=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	not collected
Klebsiella pneumoniae	PRJNA307517	SAMN04868732	12_BR_13	PDT000144373.1	"12_BR_13","SRS4391565"	GCA_001701895.1		Brazil: Sao Paulo	23.58 S 46.65 W	2013-01-31	urine	clinical	Instituto Dante Pazzanese de Cardiologia	Homo sapiens	2016-08-10T11:32:13Z	aac(3)-IIe=COMPLETE,aadA2=COMPLETE,aph(3')-Ia=COMPLETE,blaCTX-M-2=COMPLETE,blaKPC-2=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA12=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,ompK35_R115VfsTer30=POINT,ompK36_D135DGD=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE		5860872	98	270649		PDS000012478.13		Klebsiella pneumoniae		clbB=COMPLETE,clbN=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJNA307517	SAMN04868731	11_BR_13	PDT000144374.1	"11_BR_13","SRS4391566"	GCA_001701915.1		Brazil: Sao Paulo	23.58 S 46.65 W	2013-01-31	blood culture	clinical	Instituto Dante Pazzanese de Cardiologia	Homo sapiens	2016-08-10T12:06:09Z	aac(6')-Ib-cr5=COMPLETE,blaKPC-2=COMPLETE,blaOXA-1=COMPLETE,blaSHV-11=COMPLETE,catB3=PARTIAL,dfrA30=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,ompK36_K2Ter=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,tet(A)=MISTRANSLATION		5561640	96	189593				Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJNA336378	SAMN05510516	CCBH17440	PDT000146357.1	"CCBH17440","Klebsiella pneumoniae strain CCBH17440 KPC-2"	GCA_001715215.1		Brazil	22.8726368 S 43.24596969 W	2014-12	blood	clinical	IOC	Homo sapiens	2016-08-29T13:04:24Z	aac(6')-Ib-cr5=COMPLETE,armA=COMPLETE,arr-3=COMPLETE,blaCTX-M-9=COMPLETE,blaKPC-2=COMPLETE,blaOXA-1=COMPLETE,blaSHV-11=COMPLETE,blaTEM=PARTIAL,catA1=COMPLETE,catB3=COMPLETE,dfrA50=COMPLETE,dfrA8=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,ompK36_D135DGD=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrA1=COMPLETE,sul1=PARTIAL		5608888	85	204267		PDS000083623.2		Klebsiella pneumoniae			Sepsis
Klebsiella pneumoniae	PRJNA336228	SAMN05505619	CCBH16302	PDT000146358.1	"CCBH16302","Klebsiella quasipneumoniae strain CCBH16302 NDM-1"	GCA_001715345.1		Brazil	22.8726368 S 43.24596969 W	2014	Rectal Swab	clinical	IOC	Homo sapiens	2016-08-29T13:07:02Z	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,acrR_V165I=POINT,acrR_Y114F=POINT,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaNDM-1=COMPLETE,blaOKP-B-41=COMPLETE,blaOXA-1=COMPLETE,blaTEM-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL,dfrA14=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,oqxR_D95E=POINT,qnrB1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE		6039753	74	281436				Klebsiella quasipneumoniae			colonization
Klebsiella pneumoniae	PRJNA323981	SAMN05193406	1194	PDT000147365.2	"1194","1194/11","SRS11260464"	GCA_001718115.2		Brazil	23.560035 S 46.64733699 W	2011	catheter tip	clinical	Hospital Infantil Menino Jesus	Homo sapiens	2022-01-12T17:53:09Z	aac(3)-IId=COMPLETE,aac(6')-Ib=COMPLETE,aadA1=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,arr-3=COMPLETE,blaCTX-M-15=COMPLETE,blaKPC-2=COMPLETE,blaOXA-9=COMPLETE,blaSHV-11=COMPLETE,blaTEM=COMPLETE,blaTEM=PARTIAL,catA1=COMPLETE,dfrA14=COMPLETE,dfrA15=COMPLETE,dfrA8=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB19=COMPLETE,rmtG=COMPLETE,sat2=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE		5766661	9	5284160		PDS000045422.11	22	Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	nosocomial infection
Klebsiella pneumoniae	PRJNA322396	SAMN05162257	606B	PDT000147366.1	"606B","KP606"	GCA_001718175.1		Brazil: Minas Gerais State	18.584322 S 46.51315299 W	2012	fecal swab	environmental/other	Marina Morena	pig	2016-09-02T15:40:02Z	aac(3)-IId=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaLAP-2=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,catA2=COMPLETE,dfrA12=COMPLETE,dfrA14=COMPLETE,emrD=COMPLETE,floR=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrS1=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,tet(D)=COMPLETE		5504176	82	244587		PDS000045422.11	32	Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJNA337953	SAMN05514347	CCBH6984	PDT000148418.1	"CCBH6984","Klebsiella pneumoniae strain CCBH6984 KPC-2"	GCA_001720345.1		Brazil	22.8726368 S 43.24596969 W	2010	rectal swab	clinical	IOC	Homo sapiens	2016-09-07T13:37:10Z	aac(3)-IVa=COMPLETE,aac(6')-Iq=COMPLETE,aadA1=COMPLETE,aadA2=COMPLETE,aadA2=PARTIAL,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(4)-Ia=COMPLETE,blaCTX-M-2=COMPLETE,blaKPC-2=COMPLETE,blaSHV=COMPLETE,blaTEM-1=COMPLETE,catA2=COMPLETE,cmlA4=COMPLETE,dfrA12=COMPLETE,dfrA15=COMPLETE,emrD=COMPLETE,estX-3=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB19=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE		5921355	111	270989				Klebsiella pneumoniae			Colonization
Klebsiella pneumoniae	PRJNA342955	SAMN05771180	KP171	PDT000150560.1	"KP171","Kp 171, TIET-4200"	GCA_001746765.1		Brazil	23.14101667 S 48.16139824 W	2011-01	urban river water	environmental/other	Nilton Lincopan		2016-09-26T19:02:09Z	aac(3)-IId=COMPLETE,aadA2=COMPLETE,blaCTX-M-15=COMPLETE,blaKPC-2=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,catA2=COMPLETE,dfrA12=COMPLETE,dfrA25=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB2=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(D)=COMPLETE		5517975	273	43077				Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJNA326415	SAMN05277828	145	PDT000152671.2	"145","145/11"	GCA_001756835.2		Brazil	22.736269 S 47.644183 W	2011	rectal swab	clinical	Previlab	Homo sapiens	2017-05-24T16:32:20Z	aac(6')-Ib=COMPLETE,aadA1=COMPLETE,aadA2=PARTIAL_END_OF_CONTIG,blaCTX-M=COMPLETE,blaCTX-M=PARTIAL,blaKPC-2=COMPLETE,blaOXA-9=COMPLETE,blaOXA=COMPLETE,blaSHV=COMPLETE,blaTEM-1=COMPLETE,cmlA4=COMPLETE,dfrA15=PARTIAL_END_OF_CONTIG,dfrA=PARTIAL_END_OF_CONTIG,emrD=COMPLETE,ere(A)=PARTIAL_END_OF_CONTIG,fosA=COMPLETE,oqxA=COMPLETE,oqxB19=COMPLETE,parC_S80I=POINT,qnrE1=COMPLETE,rmtG=COMPLETE,sul1=COMPLETE,sul2=COMPLETE		5803589	1189	10892				Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	nosocomial infection
Klebsiella pneumoniae	PRJNA357080	SAMN06132264	301	PDT000173624.1	"301"	GCA_001907955.1		Brazil: Aruja	23.23 S 46.19 W	2016	Lettuce	environmental/other	Institute of Biomedical Sciences - USP		2016-12-18T23:02:07Z	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,blaOXA-1=COMPLETE,blaSHV-77=COMPLETE,catA1=COMPLETE,catB3=PARTIAL,dfrA14=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB25=COMPLETE,tet(A)=COMPLETE		5311340	20	3031323		PDS000013084.6	24	Klebsiella pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJNA324074	SAMN05194650	196	PDT000180982.2	"196","Kp 196, TIET-4200"	GCA_001968745.2		Brazil	23.519427 S 46.746400 W	2011	urban river	clinical	Maria Sato		2017-05-24T16:24:10Z	aac(6')-Ib-cr5=COMPLETE,aph(3')-Ia=COMPLETE,blaCTX-M-15=COMPLETE,blaKPC-2=COMPLETE,blaOXA-1=COMPLETE,blaSHV-11=COMPLETE,catB3=PARTIAL,dfrA30=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE		5493625	41	324828				Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJNA324070	SAMN05194617	148	PDT000180983.2	"148","Kp148,PINH-4900"	GCA_001968755.2		Brazil	23.530767 S 46.748376 W	2011	urban river	clinical	Maria Sato		2017-05-24T16:26:08Z	aac(6')-Ib-cr5=COMPLETE,aph(3')-Ia=COMPLETE,blaCTX-M-15=COMPLETE,blaKPC-2=COMPLETE,blaOXA=COMPLETE,blaSHV-11=COMPLETE,catA1=COMPLETE,catB3=PARTIAL,dfrA30=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,ompK36_S45IfsTer1=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,tet(A)=COMPLETE		5516594	54	291758		PDS000253866.2	0	Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJNA361572	SAMN06234924	B	PDT000184150.1	"B","B  Enterobacter aerogenes"	GCA_001974865.1		Argentina: Buenos Aires, La Plata	35.0879 S 57.83 W	2011-07-15	soil				2017-01-30T17:02:19Z	ampC-Kaer=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83T=POINT,oqxA=COMPLETE,oqxB=COMPLETE,oqxR_D95E=POINT		5218815	94	567482				Klebsiella aerogenes			
Klebsiella pneumoniae	PRJNA252957	SAMN02927709		PDT000193197.2	"Brazil-2006","SRS692084"	GCA_022305095.1	SRR1561199	Brazil	15.7833 S 47.8667 W	2006		clinical		Homo sapiens	2017-03-15T21:40:30Z	aac(6')-Iq=COMPLETE,aadA1=COMPLETE,aadA2=PARTIAL_END_OF_CONTIG,blaCTX-M-2=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,bleO=COMPLETE,catA2=COMPLETE,cmlA4=COMPLETE,dfrA15=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,ompK35_Y117Ter=POINT,oqxA=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,sul2=COMPLETE,tet(B)=COMPLETE,tet(D)=COMPLETE		5762843	264	72600	ILLUMINA	PDS000061231.2		Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJNA252957	SAMN02927710		PDT000193198.2	"Brazil-2007a","SRS692085"	GCA_022305015.1	SRR1561200	Brazil	15.7833 S 47.8667 W	2007		clinical		Homo sapiens	2017-03-15T21:40:30Z	aac(6')-Ib=COMPLETE,aadA2=COMPLETE,aadA2=PARTIAL_END_OF_CONTIG,blaKPC-2=COMPLETE,blaOXA=MISTRANSLATION,blaSHV-11=COMPLETE,blaSHV-12=COMPLETE,blaSHV=PARTIAL_END_OF_CONTIG,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA12=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,ompK35_E42RfsTer47=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE		5698404	172	122944	ILLUMINA	PDS000242427.9		Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJNA252957	SAMN02927711		PDT000193199.2	"Brazil-2007b","SRS692086"	GCA_022304995.1	SRR1561201	Brazil	15.7833 S 47.8667 W	2007		clinical		Homo sapiens	2017-03-15T21:40:30Z	aac(6')-Ib=COMPLETE,aadA2=COMPLETE,blaKPC-2=COMPLETE,blaOXA=MISTRANSLATION,blaSHV-11=COMPLETE,blaSHV-12=COMPLETE,blaSHV=PARTIAL_END_OF_CONTIG,blaTEM-1=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,catA1=COMPLETE,dfrA12=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,ompK35_E42RfsTer47=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE		5703650	166	109505	ILLUMINA	PDS000242427.9		Klebsiella pneumoniae			
