acc	pais	bioproject	anio	st	cc258	kpc	ndm	carb
GCA_002166915.1	Colombia	PRJNA354908	2013	307	no	no	no	no
GCA_002166965.1	Colombia	PRJNA354908	2014	307	no	si	no	si
GCA_002192975.1	Brazil	PRJNA377546	2013	340	si	no	no	no
GCA_002209465.1	Brazil	PRJNA384201	2015	11	si	no	no	no
GCA_002251715.1	Brazil	PRJNA382374	2014	437	si	si	no	si
GCA_002283495.1	Colombia	PRJNA343664	2016	307	no	no	no	no
GCA_002289105.1	Brazil	PRJNA401424	2013	340	si	si	no	si
GCA_002289165.1	Brazil	PRJNA401423	2009	437	si	si	no	si
GCA_002295145.1	Brazil	PRJNA400700	2009	11	si	si	no	si
GCA_002295185.1	Brazil	PRJNA400691	2014	11	si	si	no	si
GCA_002300715.2	Brazil	PRJNA400692	2013	437	si	si	no	si
GCA_002300755.2	Brazil	PRJNA400776	2010	340	si	si	no	si
GCA_002300775.1	Brazil	PRJNA400774	2010	443	no	si	no	si
GCA_002300785.2	Brazil	PRJNA400778	2016	437	si	si	no	si
GCA_002304205.1	Brazil	PRJNA401154	2011	340	si	si	no	si
GCA_002529075.1	Brazil	PRJNA401158	2011	11	si	si	no	si
GCA_002529065.1	Brazil	PRJNA401160	2013	11	si	si	no	si
GCA_002631045.1	Brazil	PRJNA412918	2003	442	no	no	no	si
GCA_002834285.1	Peru	PRJNA420561	2013	340	si	si	no	si
GCA_002850805.1	Colombia	PRJNA378654	2006	14	no	si	no	si
GCA_002850795.1	Colombia	PRJNA378654	2006	1303	no	no	no	no
GCA_002850835.1	Colombia	PRJNA378654	2010	12	no	no	no	no
GCA_002850845.1	Colombia	PRJNA378654	2006	34	no	no	no	no
GCA_002850875.1	Colombia	PRJNA378654	2006	1440	no	no	no	no
GCA_002850885.1	Colombia	PRJNA378654	2006	14	no	no	no	no
GCA_002850915.1	Colombia	PRJNA378654	2006	39	no	no	no	no
GCA_002850935.1	Colombia	PRJNA378654	2006	14	no	no	no	no
GCA_002850965.1	Colombia	PRJNA378654	2006	48	no	no	no	no
GCA_002850955.1	Colombia	PRJNA378654	2006	14	no	no	no	no
GCA_002850995.1	Colombia	PRJNA378654	2006	299	no	no	no	no
GCA_002851015.1	Colombia	PRJNA378654	2006	15	no	no	no	no
GCA_002851035.1	Colombia	PRJNA378654	2005	258	si	no	no	no
GCA_002851055.1	Colombia	PRJNA378654	2006	789	no	no	no	no
GCA_002851115.1	Colombia	PRJNA378654	2005	337	no	si	no	si
GCA_002851135.1	Colombia	PRJNA378654	2005	353	no	si	no	si
GCA_002851155.1	Colombia	PRJNA378654	2005	442	no	no	no	no
GCA_002851175.1	Colombia	PRJNA378654	2004	833	no	no	no	no
GCA_002851195.1	Colombia	PRJNA378654	2004	13	no	no	no	no
GCA_002851215.1	Colombia	PRJNA378654	2004	2411	no	no	no	no
GCA_002851245.1	Colombia	PRJNA378654	2003	2310	no	no	no	no
GCA_002851275.1	Colombia	PRJNA378654	2003	252	no	no	no	no
GCA_002851335.1	Colombia	PRJNA378654	2002	3630	no	no	no	no
GCA_002851345.1	Colombia	PRJNA378654	2006	101	no	no	no	no
GCA_002851375.1	Colombia	PRJNA378654	2006	11	si	no	no	no
GCA_002851395.1	Colombia	PRJNA378654	2006	39	no	no	no	no
GCA_002851435.1	Colombia	PRJNA378654	2006	14	no	si	no	si
GCA_002851455.1	Colombia	PRJNA378654	2006	17	no	no	no	no
GCA_002851475.1	Colombia	PRJNA378654	2006	1271	no	no	no	no
GCA_002851495.1	Colombia	PRJNA378654	2005	77	no	no	no	no
GCA_002851515.1	Colombia	PRJNA378654	2005	292	no	no	no	no
GCA_002851525.1	Colombia	PRJNA378654	2005	3629	no	no	no	no
GCA_002851555.1	Colombia	PRJNA378654	2005	14	no	no	no	no
GCA_002851575.1	Colombia	PRJNA378654	2003	552	no	no	no	no
GCA_002851615.1	Colombia	PRJNA378654	2002	999	no	no	no	no
GCA_002853565.1	Colombia	PRJNA378654	2002	3628	no	no	no	no
GCA_002853595.1	Colombia	PRJNA378654	2003	105	no	no	no	no
GCA_002853735.1	Colombia	PRJNA378654	2002	35	no	no	no	no
GCA_002853725.1	Colombia	PRJNA378654	2002	8	no	no	no	no
GCA_002853795.1	Colombia	PRJNA378654	2002	30	no	no	no	no
GCA_002853825.1	Colombia	PRJNA378654	2002	17	no	no	no	no
GCA_002853815.1	Colombia	PRJNA378654	2002	20	no	no	no	no
GCA_002853895.1	Colombia	PRJNA378654	2003	834	no	no	no	no
GCA_002853915.1	Colombia	PRJNA378654	2004	151	no	no	no	no
GCA_002853935.1	Colombia	PRJNA378654	2005	378	no	no	no	no
GCA_002853955.1	Colombia	PRJNA378654	2013	560	no	si	no	si
GCA_002853975.1	Colombia	PRJNA378654	2003	14	no	no	no	no
GCA_002854015.1	Colombia	PRJNA378654	2012	14	no	si	no	si
GCA_002854035.1	Colombia	PRJNA378654	2014	629	no	si	no	si
GCA_002854055.1	Colombia	PRJNA378654	2010	979	no	si	no	si
GCA_002854085.1	Colombia	PRJNA378654	2014	13	no	si	no	si
GCA_002854115.1	Colombia	PRJNA378654	2013	528	no	no	no	no
GCA_002854135.1	Colombia	PRJNA378654	2014	36	no	si	no	si
GCA_002854145.1	Colombia	PRJNA378654	2013	528	no	no	no	no
GCA_002854175.1	Colombia	PRJNA378654	2013	348	no	si	no	si
GCA_002854195.1	Colombia	PRJNA378654	2012	147	no	si	no	si
GCA_002854215.1	Colombia	PRJNA378654	2012	15	no	si	no	si
GCA_002854255.1	Colombia	PRJNA378654	2012	36	no	si	no	si
GCA_002854235.1	Colombia	PRJNA378654	2011	258	si	si	no	si
GCA_002854285.1	Colombia	PRJNA378654	2011	1440	no	si	no	si
GCA_002854295.1	Colombia	PRJNA378654	2011	258	si	si	no	si
GCA_002854275.1	Colombia	PRJNA378654	2011	258	si	si	no	si
GCA_002854335.1	Colombia	PRJNA378654	2011	258	si	si	no	si
GCA_002854355.1	Colombia	PRJNA378654	2010	101	no	si	no	si
GCA_002854385.1	Colombia	PRJNA378654	2010	258	si	si	no	si
GCA_002854375.1	Colombia	PRJNA378654	2010	258	si	si	no	si
GCA_002854415.1	Colombia	PRJNA378654	2010	258	si	si	no	si
GCA_002854435.1	Colombia	PRJNA378654	2009	258	si	si	no	si
GCA_002854455.1	Colombia	PRJNA378654	2009	512	si	si	no	si
GCA_002854465.1	Colombia	PRJNA378654	2009	258	si	si	no	si
GCA_002854495.1	Colombia	PRJNA378654	2009	258	si	si	no	si
GCA_002854515.1	Colombia	PRJNA378654	2009	147	no	si	no	si
GCA_002854525.1	Colombia	PRJNA378654	2008	512	si	si	no	si
GCA_002854575.1	Colombia	PRJNA378654	2007	14	no	si	no	si
GCA_002854585.1	Colombia	PRJNA378654	2007	-	no	no	no	no
GCA_002854635.1	Colombia	PRJNA378654	2007	45	no	no	no	no
GCA_002854655.1	Colombia	PRJNA378654	2007	273	no	no	no	no
GCA_002854675.1	Colombia	PRJNA378654	2007	17	no	no	no	no
GCA_002854695.1	Colombia	PRJNA378654	2007	101	no	no	no	no
GCA_002854715.1	Colombia	PRJNA378654	2007	101	no	si	no	si
GCA_002854735.1	Colombia	PRJNA378654	2007	258	si	si	no	si
GCA_002854745.1	Colombia	PRJNA378654	2003	252	no	no	no	no
GCA_002854815.1	Colombia	PRJNA378654	2004	273	no	no	no	no
GCA_002854835.1	Colombia	PRJNA378654	2013	22	no	si	no	si
GCA_002854855.1	Colombia	PRJNA378654	2004	584	no	no	no	no
GCA_002854865.1	Colombia	PRJNA378654	2013	258	si	si	no	si
GCA_002854895.1	Colombia	PRJNA378654	2013	258	si	si	no	si
GCA_002854915.1	Colombia	PRJNA378654	2013	13	no	si	no	si
GCA_002854935.1	Colombia	PRJNA378654	2013	560	no	si	no	si
GCA_002854975.1	Colombia	PRJNA378654	2012	258	si	si	no	si
GCA_002854955.1	Colombia	PRJNA378654	2007	101	no	si	no	si
GCA_002854995.1	Colombia	PRJNA378654	2012	258	si	si	no	si
GCA_002855015.1	Colombia	PRJNA378654	2011	505	no	si	no	si
GCA_002855035.1	Colombia	PRJNA378654	2011	258	si	si	no	si
GCA_002855045.1	Colombia	PRJNA378654	2011	258	si	si	no	si
GCA_002855075.1	Colombia	PRJNA378654	2011	258	si	si	no	si
GCA_002855115.1	Colombia	PRJNA378654	2010	258	si	si	no	si
GCA_002855125.1	Colombia	PRJNA378654	2010	258	si	si	no	si
GCA_002855155.1	Colombia	PRJNA378654	2010	12	no	no	no	no
GCA_002855175.1	Colombia	PRJNA378654	2010	20	no	si	no	si
GCA_002855215.1	Colombia	PRJNA378654	2009	512	si	si	no	si
GCA_002855195.1	Colombia	PRJNA378654	2009	258	si	si	no	si
GCA_002855255.1	Colombia	PRJNA378654	2008	14	no	si	no	si
GCA_002855275.1	Colombia	PRJNA378654	2009	258	si	si	no	si
GCA_002855295.1	Colombia	PRJNA378654	2007	14	no	si	no	si
GCA_002855315.1	Colombia	PRJNA378654	2007	101	no	no	no	no
GCA_002855375.1	Colombia	PRJNA378654	2006	495	no	no	no	no
GCA_002855395.1	Colombia	PRJNA378654	2007	17	no	no	no	no
GCA_002887435.2	Brazil	PRJNA428749	2014	340	si	no	no	no
GCA_002951555.1	Brazil	PRJNA358426	2009	437	si	si	no	si
GCA_002951595.1	Brazil	PRJNA358426	2009	437	si	si	no	si
GCA_900322595.1	Brazil	PRJEB25631	2010	11	si	si	no	si
GCA_900322605.1	Brazil	PRJEB25631	2010	11	si	si	no	si
GCA_900322615.1	Brazil	PRJEB25631	2008	11	si	no	no	no
GCA_900322625.1	Brazil	PRJEB25631	2006	11	si	si	no	si
GCA_900322635.1	Brazil	PRJEB25631	2008	11	si	no	no	no
GCA_900322645.1	Brazil	PRJEB25631	2008	11	si	si	no	si
GCA_900322655.1	Brazil	PRJEB25631	2006	442	no	no	no	no
GCA_900322665.1	Brazil	PRJEB25631	2006	11	si	no	no	no
GCA_003284835.1	Brazil	PRJNA377546	2016	11	si	si	no	si
GCA_003318315.1	Brazil	PRJNA478021	2015	-	no	si	no	si
GCA_003321095.1	Brazil	PRJNA377546	2016	16	no	si	no	si
GCA_003321135.1	Brazil	PRJNA377546	2016	258	si	si	no	si
GCA_003321155.1	Brazil	PRJNA377546	2016	11	si	si	no	si
GCA_003321105.1	Brazil	PRJNA377546	2013	340	si	si	no	si
GCA_003321195.1	Brazil	PRJNA377546	2016	11	si	si	no	si
GCA_003321215.1	Brazil	PRJNA377546	2017	11	si	si	no	si
GCA_003321225.1	Brazil	PRJNA377546	2012	11	si	no	no	no
GCA_003321255.1	Brazil	PRJNA377546	2014	340	si	si	no	si
GCA_003321235.1	Brazil	PRJNA377546	2012	11	si	no	no	no
GCA_003321295.1	Brazil	PRJNA377546	2015	11	si	si	no	si
GCA_003321305.1	Brazil	PRJNA377546	2012	340	si	si	no	si
GCA_003321315.1	Brazil	PRJNA377546	2013	11	si	si	no	si
GCA_003321335.1	Brazil	PRJNA377546	2012	340	si	si	no	si
GCA_003321375.1	Brazil	PRJNA377546	2012	340	si	si	no	si
GCA_003321385.1	Brazil	PRJNA377546	2012	340	si	no	no	no
GCA_003321425.1	Brazil	PRJNA377546	2011	437	si	si	no	si
GCA_003325525.1	Brazil	PRJNA431093	2011	442	no	no	no	no
GCA_003326315.1	Brazil	PRJNA377546	2016	258	si	si	no	si
GCA_003326295.1	Brazil	PRJNA377546	2017	11	si	si	no	si
GCA_003326305.1	Brazil	PRJNA377546	2017	258	si	si	no	si
GCA_003326285.1	Brazil	PRJNA377546	2016	258	si	si	no	si
GCA_003326365.1	Brazil	PRJNA377546	2016	258	si	si	no	si
GCA_003326375.1	Brazil	PRJNA377546	2012	437	si	si	no	si
GCA_003326395.1	Brazil	PRJNA377546	2016	16	no	si	no	si
GCA_003326385.1	Brazil	PRJNA377546	2013	11	si	si	no	si
GCA_003326435.1	Brazil	PRJNA377546	2012	11	si	si	no	si
GCA_003327585.1	Brazil	PRJNA377546	2012	340	si	si	no	si
GCA_003338595.1	Brazil	PRJNA377546	2012	340	si	si	no	si
GCA_003095455.1	Brazil	PRJNA377546	2013	258	si	si	no	si
GCA_003095475.1	Brazil	PRJNA377546	2013	25	no	no	no	no
GCA_003095495.1	Brazil	PRJNA377546	2012	258	si	si	no	si
GCA_003095515.1	Brazil	PRJNA377546	2012	258	si	si	no	si
GCA_003095575.1	Brazil	PRJNA377546	2011	11	si	si	no	si
GCA_003095615.1	Brazil	PRJNA377546	2011	442	no	si	no	si
GCA_003097475.1	Brazil	PRJNA377546	2011	234	no	no	no	no
GCA_003432105.1	Brazil	PRJNA487355	2016	11	si	si	no	si
GCA_003574335.1	Uruguay	PRJNA436972	2011	258	si	si	no	si
GCA_003576025.1	Brazil	PRJNA483040	2015	340	si	si	no	si
GCA_003789125.1	Brazil	PRJNA497745	2016	437	si	si	no	si
GCA_004284565.1	Brazil	PRJNA522621	2016	340	si	no	no	no
GCA_005184305.1	Venezuela	PRJEB19687	2015	11	si	no	si	si
GCA_005222595.1	Brazil	PRJNA540253	2017	15	no	si	no	si
GCA_006152045.1	Brazil	PRJNA545763	2017	29	no	no	no	no
GCA_006152075.1	Brazil	PRJNA545765	2017	29	no	no	no	no
GCA_006152055.2	Brazil	PRJNA545764	2017	4857	no	no	no	no
GCA_006335135.1	Chile	PRJNA546580	2018	258	si	no	si	si
GCA_006517515.1	Brazil	PRJNA377546	2016	11	si	si	no	si
GCA_022321785.1	Brazil	PRJEB25746	2015	11	si	si	no	si
GCA_022321835.1	Brazil	PRJEB25746	2015	11	si	si	no	si
GCA_022321815.1	Brazil	PRJEB25746	2015	11	si	si	no	si
GCA_022321725.1	Brazil	PRJEB25746	2015	11	si	si	no	si
GCA_022321645.1	Brazil	PRJEB25746	2015	345	no	si	no	si
GCA_022321605.1	Brazil	PRJEB25746	2015	11	si	si	no	si
GCA_022321575.1	Brazil	PRJEB25746	2015	345	no	si	no	si
GCA_022321535.1	Brazil	PRJEB25746	2015	11	si	si	no	si
GCA_022321495.1	Brazil	PRJEB25746	2015	11	si	si	no	si
GCA_022321405.1	Brazil	PRJEB25746	2015	11	si	si	no	si
GCA_022321445.1	Brazil	PRJEB25746	2015	11	si	si	no	si
GCA_022321305.1	Brazil	PRJEB25746	2015	11	si	si	no	si
GCA_022321375.1	Brazil	PRJEB25746	2015	11	si	si	no	si
GCA_022321355.1	Brazil	PRJEB25746	2016	11	si	si	no	si
GCA_022321225.1	Brazil	PRJEB25746	2016	11	si	no	no	no
GCA_022321245.1	Brazil	PRJEB25746	2016	11	si	si	no	si
GCA_022321125.1	Brazil	PRJEB25746	2016	11	si	si	no	si
GCA_022321135.1	Brazil	PRJEB25746	2016	11	si	si	no	si
GCA_022321075.1	Brazil	PRJEB25746	2016	11	si	si	no	si
GCA_022321025.1	Brazil	PRJEB25746	2016	11	si	si	no	si
GCA_022321045.1	Brazil	PRJEB25746	2016	11	si	si	no	si
GCA_022320885.1	Brazil	PRJEB25746	2016	258	si	si	no	si
GCA_022320905.1	Brazil	PRJEB25746	2016	11	si	si	no	si
GCA_022320865.1	Brazil	PRJEB25746	2016	11	si	si	no	si
GCA_022320745.1	Brazil	PRJEB25746	2016	15	no	si	no	si
GCA_022320705.1	Brazil	PRJEB25746	2016	15	no	si	no	si
GCA_008123385.1	Chile	PRJNA561133	2012	1161	no	no	no	no
GCA_009651075.1	Brazil	PRJNA386273	2015	11	si	si	no	si
GCA_009651015.1	Brazil	PRJNA386273	2015	11	si	si	no	si
GCA_022210945.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210965.1	Brazil	PRJEB34380	2018	39	no	si	no	si
GCA_022210885.1	Brazil	PRJEB34380	2018	16	no	si	no	si
GCA_022210865.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210845.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210985.1	Brazil	PRJEB34380	2018	437	si	si	no	si
GCA_022210825.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210785.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210805.1	Brazil	PRJEB34380	2018	16	no	si	no	si
GCA_022210765.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210725.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210745.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210665.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210695.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210685.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210645.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210625.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210605.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210565.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210575.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210525.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210545.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210465.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210485.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210505.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210445.1	Brazil	PRJEB34380	2018	258	si	si	no	si
GCA_022210425.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210405.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210385.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210365.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210345.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210325.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210285.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210305.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210265.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210245.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210205.1	Brazil	PRJEB34380	2018	16	no	si	no	si
GCA_022210225.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210185.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210165.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210145.1	Brazil	PRJEB34380	2018	437	si	si	no	si
GCA_022210085.1	Brazil	PRJEB34380	2018	16	no	si	no	si
GCA_022210105.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210125.1	Brazil	PRJEB34380	2018	258	si	si	no	si
GCA_022210065.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210045.1	Brazil	PRJEB34380	2018	437	si	si	no	si
GCA_022210025.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022210005.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022209985.1	Brazil	PRJEB34380	2018	16	no	si	no	si
GCA_022209965.1	Brazil	PRJEB34380	2018	16	no	si	no	si
GCA_022209925.1	Brazil	PRJEB34380	2018	258	si	si	no	si
GCA_022209945.1	Brazil	PRJEB34380	2018	4019	no	no	si	si
GCA_022209885.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022209905.1	Brazil	PRJEB34380	2018	437	si	si	no	si
GCA_022209865.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022209845.1	Brazil	PRJEB34380	2018	15	no	no	si	si
GCA_022209805.1	Brazil	PRJEB34380	2018	15	no	no	si	si
GCA_022209825.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022209785.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022209765.1	Brazil	PRJEB34380	2018	15	no	no	si	si
GCA_022209725.1	Brazil	PRJEB34380	2018	15	no	no	si	si
GCA_022209705.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022209745.1	Brazil	PRJEB34380	2018	15	no	no	si	si
GCA_022209685.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022209605.1	Brazil	PRJEB34380	2018	16	no	si	no	si
GCA_022209645.1	Brazil	PRJEB34380	2018	4019	no	no	si	si
GCA_022209665.1	Brazil	PRJEB34380	2018	15	no	no	si	si
GCA_022209585.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022209625.1	Brazil	PRJEB34380	2018	437	si	si	no	si
GCA_022209495.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022209565.1	Brazil	PRJEB34380	2018	-	no	si	no	si
GCA_022209525.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022209485.1	Brazil	PRJEB34380	2018	15	no	no	si	si
GCA_022209545.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022209465.1	Brazil	PRJEB34380	2018	437	si	si	no	si
GCA_022209445.1	Brazil	PRJEB34380	2018	437	si	si	no	si
GCA_022209425.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_022209385.1	Brazil	PRJEB34380	2018	16	no	si	no	si
GCA_022209405.1	Brazil	PRJEB34380	2018	17	no	si	no	si
GCA_022209365.1	Brazil	PRJEB34380	2018	11	si	si	no	si
GCA_009898155.1	Brazil	PRJNA550382	2019	392	no	si	si	si
GCA_009898185.1	Brazil	PRJNA550382	2019	460	no	si	si	si
GCA_009928575.1	Argentina	PRJNA413888	2009	309	no	si	no	si
GCA_009928565.1	Argentina	PRJNA413888	2013	258	si	si	no	si
GCA_009928615.1	Argentina	PRJNA413888	2009	15	no	si	no	si
GCA_022204885.1	Brazil	PRJEB24576	2015	11	si	si	no	si
GCA_010671585.1	Chile	PRJNA604321	2012	1161	no	no	no	no
GCA_010820635.1	Chile	PRJNA606330	2012	1161	no	no	no	no
GCA_011008735.1	Chile	PRJNA606898	2012	25	no	no	no	no
GCA_011008795.1	Chile	PRJNA606899	2012	11	si	no	no	no
GCA_011008835.1	Chile	PRJNA607016	2012	25	no	no	no	no
GCA_011008895.1	Chile	PRJNA607131	2013	25	no	no	no	no
GCA_011037215.1	Brazil	PRJNA510003	2016	340	si	si	no	si
GCA_011037225.1	Brazil	PRJNA510003	2016	437	si	si	no	si
GCA_011037245.1	Brazil	PRJNA510003	2016	437	si	si	no	si
GCA_011037275.1	Brazil	PRJNA510003	2016	437	si	si	no	si
GCA_011037295.1	Brazil	PRJNA510003	2016	437	si	si	no	si
GCA_011037315.1	Brazil	PRJNA510003	2016	437	si	si	no	si
GCA_011037335.1	Brazil	PRJNA510003	2014	437	si	si	no	si
GCA_011037345.1	Brazil	PRJNA510003	2016	437	si	si	no	si
GCA_011037375.1	Brazil	PRJNA510003	2016	437	si	si	no	si
GCA_011037395.1	Brazil	PRJNA510003	2014	437	si	si	no	si
GCA_011037415.1	Brazil	PRJNA510003	2016	437	si	si	no	si
GCA_011037435.1	Brazil	PRJNA510003	2016	437	si	si	no	si
GCA_011037455.1	Brazil	PRJNA510003	2016	11	si	si	no	si
GCA_011037475.1	Brazil	PRJNA510003	2016	11	si	si	no	si
GCA_011037495.1	Brazil	PRJNA510003	2016	11	si	si	no	si
GCA_011037515.1	Brazil	PRJNA510003	2015	11	si	si	no	si
GCA_011037535.1	Brazil	PRJNA510003	2015	11	si	si	no	si
GCA_011037555.1	Brazil	PRJNA510003	2016	11	si	si	no	si
GCA_011037575.1	Brazil	PRJNA510003	2015	11	si	si	no	si
GCA_011037595.1	Brazil	PRJNA510003	2015	11	si	si	no	si
GCA_011037615.1	Brazil	PRJNA510003	2016	11	si	si	no	si
GCA_011037635.1	Brazil	PRJNA510003	2015	11	si	si	no	si
GCA_011037655.1	Brazil	PRJNA510003	2016	11	si	si	no	si
GCA_011037675.1	Brazil	PRJNA510003	2015	11	si	si	no	si
GCA_011037685.1	Brazil	PRJNA510003	2016	11	si	si	no	si
GCA_011037715.1	Brazil	PRJNA510003	2014	11	si	si	no	si
GCA_011037755.1	Brazil	PRJNA510003	2016	11	si	si	no	si
GCA_011037775.1	Brazil	PRJNA510003	2014	11	si	si	no	si
GCA_011037865.1	Brazil	PRJNA510003	2016	258	si	si	no	si
GCA_011037885.1	Brazil	PRJNA510003	2016	258	si	si	no	si
GCA_011037925.1	Brazil	PRJNA510003	2016	258	si	si	no	si
GCA_011037945.1	Brazil	PRJNA510003	2016	258	si	si	no	si
GCA_011037955.1	Brazil	PRJNA510003	2015	258	si	si	no	si
GCA_011037995.1	Brazil	PRJNA510003	2016	258	si	si	no	si
GCA_011038015.1	Brazil	PRJNA510003	2015	258	si	si	no	si
