accesion	tipo_registro	bioproject	biosample	pais	ciudad	anio	fecha_colecta	fuente_aislamiento	tipo_aislamiento	hospedero	colector	plataforma	n_contigs	longitud_total	st_pasteur	st_oxford	kl	ocl	carbapenemasa_adquirida	genes_carbapenemasa	tipos_rep_apt	oxa72_contexto
ERR17057681	ensamblado_propio	PRJEB107069	SAMEA121030834	Colombia		2020	2020	lower respiratory track	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	91	4261919	945	813	KL134	OCL5	si	blaOXA-23	r3-T23,rP-T1	
ERR17057687	ensamblado_propio	PRJEB107069	SAMEA121030836	Colombia		2020	2020	lower respiratory track	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	31	4015267	-	-	KL120	OCL1	no	ninguna	ninguno	
ERR17057689	ensamblado_propio	PRJEB107069	SAMEA121030837	Colombia		2020	2020	lower respiratory track	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	80	4010172	79	2128	KL32	OCL5	si	blaOXA-23	r3-T26	
ERR17057690	ensamblado_propio	PRJEB107069	SAMEA121030838	Colombia		2020	2020	lower respiratory track	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	80	4009572	79	2128	KL32	OCL5	si	blaOXA-23	r3-T26	
ERR17057691	ensamblado_propio	PRJEB107069	SAMEA121030839	Colombia		2020	2020	lower respiratory track	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	85	4009803	79	2128	KL32	OCL5	si	blaOXA-23	r3-T26	
ERR17057692	ensamblado_propio	PRJEB107069	SAMEA121030840	Colombia		2020	2020	lower respiratory track	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	77	4009455	79	2128	KL32	OCL5	si	blaOXA-23	r3-T26	
ERR17057693	ensamblado_propio	PRJEB107069	SAMEA121030841	Colombia		2020	2020	tissue secretion	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	80	3804920	77	1182	KL37	OCL2	no	ninguna	r3-T1	
ERR17057695	ensamblado_propio	PRJEB107069	SAMEA121030842	Colombia		2020	2020	lower respiratory track	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	26	3759012	-	-	KL126	OCL1	no	ninguna	ninguno	
ERR17057696	ensamblado_propio	PRJEB107069	SAMEA121030843	Colombia		2020	2020	lower respiratory track	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	103	3940846	78	-	KL3	OCL1	si	blaOXA-23	ninguno	
ERR17057697	ensamblado_propio	PRJEB107069	SAMEA121030844	Colombia		2020	2020	lower respiratory track	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	177	4158470	79	-	KL9	OCL10	no	ninguna	r3-T13	
ERR17057698	ensamblado_propio	PRJEB107069	SAMEA121030845	Colombia		2020	2020	lower respiratory track	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	102	4001156	1163	762	KL9	OCL10	si	blaOXA-23	ninguno	
ERR17057699	ensamblado_propio	PRJEB107069	SAMEA121030846	Colombia		2020	2020	blood	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	30	4038226	513	860	KL15	OCL1	no	ninguna	ninguno	
ERR17057700	ensamblado_propio	PRJEB107069	SAMEA121030847	Colombia		2020	2020	urine	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	44	3700662	1022	2435	KL20	OCL4	si	blaOXA-241	r3-T24	
ERR17057702	ensamblado_propio	PRJEB107069	SAMEA121030848	Colombia		2020	2020	blood	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	201	4053257	37	-	KL81	OCL6	no	ninguna	r3-T2,r3-T46,r3-T6,r3-T78,r3-T91	
ERR17057704	ensamblado_propio	PRJEB107069	SAMEA121030849	Colombia		2020	2020	blood	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	45	3939411	1055	-	KL95	OCL7	no	ninguna	ninguno	
ERR17057705	ensamblado_propio	PRJEB107069	SAMEA121030850	Colombia		2020	2020	tissue secretion	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	96	4141970	32	2073	KL2	OCL6	si	blaNDM-1	r3-T3	
ERR17057708	ensamblado_propio	PRJEB107069	SAMEA121030852	Colombia		2020	2020	Tracheal Aspirate/Wash	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	32	3722853	108	-	KL23	OCL1	no	ninguna	r3-T13,r3-T43	
ERR17057710	ensamblado_propio	PRJEB107069	SAMEA121030853	Colombia		2020	2020	blood	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	112	3961259	79	205	KL22	OCL5	si	blaOXA-23	r3-T11,r3-T26	
ERR17057711	ensamblado_propio	PRJEB107069	SAMEA121030854	Colombia		2020	2020	pleural fluid	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	105	3943676	78	-	KL3	OCL1	si	blaOXA-23	ninguno	
ERR17057712	ensamblado_propio	PRJEB107069	SAMEA121030855	Colombia		2021	2021	blood	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	114	3946198	78	-	KL3	OCL1	si	blaOXA-23	ninguno	
ERR17057713	ensamblado_propio	PRJEB107069	SAMEA121030856	Colombia		2020	2020	lower respiratory track	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	99	3943313	78	-	KL3	OCL1	si	blaOXA-23	ninguno	
ERR17057714	ensamblado_propio	PRJEB107069	SAMEA121030857	Colombia		2020	2020	tissue secretion	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	33	3767019	2284	3045	KL15	OCL1	no	ninguna	ninguno	
ERR17057715	ensamblado_propio	PRJEB107069	SAMEA121030858	Colombia		2020	2020	lower respiratory track	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	66	4061953	150	652	KL97	OCL6	no	ninguna	r3-T3,r3-T34,r3-T7	
ERR17057720	ensamblado_propio	PRJEB107069	SAMEA121030862	Colombia		2020	2020	lower respiratory track	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	147	4009585	32	823	KL2	OCL6	no	ninguna	r3-T3,r3-T31,r3-T5	
ERR17057721	ensamblado_propio	PRJEB107069	SAMEA121030863	Colombia		2020	2020	tissue	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	64	3734781	1357	1447	KL121	OCL1	no	ninguna	ninguno	
ERR17057724	ensamblado_propio	PRJEB107069	SAMEA121030866	Colombia		2021	2021	blood	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	115	4003317	78	-	KL23	OCL1	si	blaOXA-23	r3-T15	
ERR17057729	ensamblado_propio	PRJEB107069	SAMEA121030868	Colombia		2021	2021	lower respiratory track	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	196	3952980	1405	-	KL48	OCL21	no	ninguna	r3-T3,r3-T7,r3-T80	
ERR17057730	ensamblado_propio	PRJEB107069	SAMEA121030869	Colombia		2021	2021	blood	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	206	4081319	79	124	KL151	OCL10	si	blaOXA-23	r3-T26	
ERR17057731	ensamblado_propio	PRJEB107069	SAMEA121030870	Colombia		2021	2021	tissue	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	208	4082545	79	124	KL151	OCL10	si	blaOXA-23	r3-T26	
ERR17057733	ensamblado_propio	PRJEB107069	SAMEA121030871	Colombia		2021	2021	sputum	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	49	3878034	108	105	KL33	OCL1	no	ninguna	r3-T13,r3-T50	
ERR17057735	ensamblado_propio	PRJEB107069	SAMEA121030872	Colombia		2021	2021	pleural fluid	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	23	3771813	108	-	KL23	OCL1	no	ninguna	ninguno	
ERR17057736	ensamblado_propio	PRJEB107069	SAMEA121030873	Colombia		2021	2021	Tracheal Aspirate/Wash	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	178	3896396	424	552	KL48	OCL5	no	ninguna	r3-T27,r3-T7	
ERR17057737	ensamblado_propio	PRJEB107069	SAMEA121030874	Colombia		2021	2021	lower respiratory track	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	124	4249195	464	1752	KL121	OCL6	si	blaNDM-1	r3-T12,r3-T13,r3-T3	
ERR17057738	ensamblado_propio	PRJEB107069	SAMEA121030875	Colombia		2021	2021	blood	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	118	4247496	464	1752	KL121	OCL6	si	blaNDM-1	r3-T12,r3-T13,r3-T3	
ERR17057744	ensamblado_propio	PRJEB107069	SAMEA121030877	Colombia		2021	2021	blood	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	86	3915856	1094	-	KL145	OCL5	no	ninguna	r3-T6	
ERR4436639	ensamblado_propio	PRJEB27899	SAMEA7171693	Argentina		NA			clinical	Homo sapiens		ILLUMINA	165	4030743	25	1489	KL81	OCL10	si	blaOXA-23	r3-T14	
ERR4436640	ensamblado_propio	PRJEB27899	SAMEA7171694	Argentina		NA			clinical	Homo sapiens		ILLUMINA	192	3934427	15	225	KL22	OCL7	no	ninguna	r3-T14,r3-T3	
ERR4436744	ensamblado_propio	PRJEB27899	SAMEA7171849	Colombia		NA			clinical	Homo sapiens		ILLUMINA	266	4078998	79	124	KL151	OCL10	si	blaOXA-23	r3-T26	
ERR5709464	ensamblado_propio	PRJEB39593	SAMEA8563551	Bolivia		NA			clinical	Homo sapiens		ILLUMINA	170	4056018	15	236	KL9	OCL7	si	blaOXA-23	r3-T14	
ERR5709466	ensamblado_propio	PRJEB39593	SAMEA8563573	Chile		NA			clinical	Homo sapiens		ILLUMINA	127	4143196	15	236	KL9	OCL7	no	ninguna	r3-T13,r3-T14,r3-T3	
ERR5709481	ensamblado_propio	PRJEB39593	SAMEA8563656	Argentina		NA			clinical	Homo sapiens		ILLUMINA	94	4094486	15	236	KL9	OCL7	si	blaOXA-58	r3-T14	
GCA_000757665.1	ensamblado_publico	PRJNA257414	SAMN02951536	Argentina	Buenos Aires	2012	2012-08-28	mini bronchoalveolar lavage	clinical	Homo sapiens	Marisa Almuzara		111	3890158	79	227	KL22	OCL10	si	blaOXA-23	ninguno	
GCA_000814345.1	ensamblado_publico	PRJNA270223	SAMN03263969	Colombia		2012	2012	bodily fluid	clinical	Homo sapiens	CIDEIM		4	4073976	464	1161	KL31	OCL6	si	blaNDM	r3-T13,r3-T3	
GCA_000836625.1	ensamblado_publico	PRJNA261239	SAMN03276491	Argentina	Buenos Aires	1994	1994-06	urine	clinical	Homo sapiens	Sara Kaufman		53	3933455	1	-	KL1	OCL1	no	ninguna	r3-T13,r3-T14	
GCA_000966305.1	ensamblado_publico	PRJNA279414	SAMN03447203	Chile	Santiago	2007	2007	Wound secretion	clinical	Homo sapiens	Andres Opazo		107	3937075	-	235	KL19	OCL1	si	blaOXA-58	r3-T13,r3-T18	
GCA_000988155.1	ensamblado_publico	PRJNA280110	SAMN03456260	Brasil		2009	2009-08-21		clinical	Homo sapiens			76	4102788	15	236	KL81	OCL7	si	blaOXA-23	r3-T14,r3-T3,rP-T1	
GCA_001007775.1	ensamblado_publico	PRJNA276040	SAMN03366524	Argentina		2011	2011	Pleural fluid	clinical	Homo sapiens			63	4054515	25	1489	KL9	OCL10	si	blaOXA-23	ninguno	
GCA_001500225.1	ensamblado_publico	PRJNA299302	SAMN04196791	Brasil	Sao Paulo	2003	2003	blood	clinical	Homo sapiens	hospital staff		89	4027589	15	-	KL9	OCL7	no	ninguna	r3-T13,r3-T14,r3-T3	
GCA_001649615.1	ensamblado_publico	PRJNA301792	SAMN04549227	Brasil	Sao Paulo	2010	2010	tracheal aspirate	clinical	Homo sapiens	hospital staff		561	3752220	317	407	KL11	OCL8	si	blaOXA-23	r1-T18,r3-T14	
GCA_001649625.1	ensamblado_publico	PRJNA301792	SAMN04549226	Brasil	Sao Paulo	2010	2010	catheter	clinical	Homo sapiens	hospital staff		532	3749492	317	407	KL11	OCL8	no	ninguna	r1-T18,r3-T14	
GCA_001649675.1	ensamblado_publico	PRJNA301792	SAMN04549230	Brasil	Sao Paulo	2011	2011	tracheal aspirate	clinical	Homo sapiens	hospital staff		719	3878204	79	-	KL9	OCL10	si	blaOXA-23	r3-T1	
GCA_001649705.1	ensamblado_publico	PRJNA301792	SAMN04549232	Brasil	Sao Paulo	2011	2011	blood	clinical	Homo sapiens	hospital staff		986	3800961	79	233	KL9	OCL10	si	blaOXA-23	r3-T1,rP-T1	
GCA_001649765.1	ensamblado_publico	PRJNA301792	SAMN04549237	Brasil	Sao Paulo	2011	2011	blood	clinical	Homo sapiens	hospital staff		646	4013413	79	-	KL49	OCL10	si	blaOXA-23	r3-T1	
GCA_001649795.1	ensamblado_publico	PRJNA301792	SAMN04549238	Brasil	Sao Paulo	2011	2011	tracheal aspirate	clinical	Homo sapiens	hospital staff		775	3875653	79	-	KL49	OCL10	si	blaOXA-23	r3-T1	
GCA_001649805.1	ensamblado_publico	PRJNA301792	SAMN04549241	Brasil	Sao Paulo	2011	2011	catheter	clinical	Homo sapiens	hospital staff		1079	3816604	79	-	KL49	OCL10	si	blaOXA-23	ninguno	
GCA_001649815.1	ensamblado_publico	PRJNA301792	SAMN04549229	Brasil	Sao Paulo	2013	2013	blood	clinical	Homo sapiens	hospital staff		736	3743286	107	1552	KL47	OCL17	no	ninguna	r1-T18,r3-T69	
GCA_001649875.1	ensamblado_publico	PRJNA301792	SAMN04549233	Brasil	Sao Paulo	2011	2011	tracheal aspirate	clinical	Homo sapiens	hospital staff		591	3956163	79	-	KL49	OCL10	si	blaOXA-23	r3-T1	
GCA_001649895.1	ensamblado_publico	PRJNA301792	SAMN04549239	Brasil	Sao Paulo	2011	2011	bronchoalveolar lavage	clinical	Homo sapiens	hospital staff		749	3929797	79	233	KL49	OCL10	si	blaOXA-23	r3-T1	
GCA_001649955.1	ensamblado_publico	PRJNA301792	SAMN04549242	Brasil	Sao Paulo	2012	2012	swab	clinical	Homo sapiens	hospital staff		512	3863375	79	-	KL49	OCL10	si	blaOXA-23	r3-T1	
GCA_001649975.1	ensamblado_publico	PRJNA301792	SAMN04549243	Brasil	Sao Paulo	2012	2012	tracheal aspirate	clinical	Homo sapiens	hospital staff		756	3687072	317	-	KL11	OCL8	si	blaOXA-23	r1-T18,r3-T14	
GCA_001758065.1	ensamblado_publico	PRJNA301792	SAMN04549245	Brasil	Sao Paulo	2002	2002	blood	clinical	Homo sapiens	hospital staff		1003	3627773	32	472	KL22	OCL6	si	blaIMP-1	r3-T31	
GCA_001758135.1	ensamblado_publico	PRJNA301792	SAMN04549244	Brasil	Sao Paulo	2011	2011	blood	clinical	Homo sapiens	hospital staff		1063	3714158	79	-	KL9	OCL3	no	ninguna	r3-T1	
GCA_001758165.1	ensamblado_publico	PRJNA301792	SAMN04549249	Brasil	Sao Paulo	2004	2004	blood	clinical	Homo sapiens	hospital staff		609	3892335	107	1552	KL47	OCL17	si	blaOXA-143	r3-T43,rP-T1	
GCA_001891205.1	ensamblado_publico	PRJNA354075	SAMN06041134	Colombia	Norte de Santander	2014	2014-05-12	patient sputum	clinical	Homo sapiens			24	4104098	920	2127	KL172	OCL4	si	blaOXA-72	r3-T13,r3-T3	r3-T13
GCA_002018935.1	ensamblado_publico	PRJNA301792	SAMN06446008	Brasil	Sao Paulo	2010	2010	tracheal aspirate	clinical	Homo sapiens	hospital staff		338	3807112	79	233	KL9	OCL10	si	blaOXA-23	r3-T1,r3-T57	
GCA_002018965.1	ensamblado_publico	PRJNA301792	SAMN06446009	Brasil	Sao Paulo	2010	2010	tracheal aspirate	clinical	Homo sapiens	hospital staff		585	3749083	79	233	KL9	OCL10	si	blaOXA-23	r3-T1,r3-T57	
GCA_002018995.1	ensamblado_publico	PRJNA301792	SAMN06446010	Brasil	Sao Paulo	2011	2011	tracheal aspirate	clinical	Homo sapiens	hospital staff		512	3875941	79	-	KL9	OCL10	si	blaOXA-23	r3-T1	
GCA_002019005.1	ensamblado_publico	PRJNA301792	SAMN06446011	Brasil	Sao Paulo	2011	2011	tracheal aspirate	clinical	Homo sapiens	hospital staff		819	3809910	79	-	KL9	OCL10	si	blaOXA-23	r3-T1	
GCA_002019025.1	ensamblado_publico	PRJNA301792	SAMN06446012	Brasil	Sao Paulo	2011	2011	blood	clinical	Homo sapiens	hospital staff		364	3942650	79	-	KL9	OCL10	si	blaOXA-23	r3-T1	
GCA_002019035.1	ensamblado_publico	PRJNA301792	SAMN06446013	Brasil	Sao Paulo	2011	2011	catheter	clinical	Homo sapiens	hospital staff		576	3953474	79	-	KL49	OCL10	si	blaOXA-23	r3-T1	
GCA_002245595.1	ensamblado_publico	PRJNA391101	SAMN07257378	Brasil	Uberlandia	2012	2012-02-02	tracheal aspirate	clinical	Homo sapiens	Clinical Hospital from Federal University		104	3938663	1	231	KL1	OCL1	si	blaOXA-23	ninguno	
GCA_002250465.1	ensamblado_publico	PRJNA391474	SAMN07269295	Brasil		2014	2014-03		clinical	Homo sapiens			179	4058633	730	-	KL33	OCL10	si	blaOXA-23	r3-T1	
GCA_002922935.1	ensamblado_publico	PRJNA432549	SAMN08452006	Brasil		2008	2008	Catheter tip	clinical	Homo sapiens	Maria Elmor		86	4055382	107	1552	KL47	OCL17	si	blaOXA-231	r3-T69	
GCA_003130565.1	ensamblado_publico	PRJNA471066	SAMN09198339	Chile	Osorno	2017	2017-01-11	urine	clinical	Homo sapiens	Sebastian Cifuentes Oyarzun		256	3890824	15	225	KL22	OCL7	no	ninguna	r3-T14	
GCA_003325575.1	ensamblado_publico	PRJNA431093	SAMN08383996	Brasil		2014	2014-02-18	cerebrospinal fluid	clinical	Homo sapiens	Sao Paulo Adolfo Lutz Institute		159	3950334	1	-	KL1	OCL1	si	blaOXA-23	r3-T1,rP-T1	
GCA_003325635.1	ensamblado_publico	PRJNA431093	SAMN08383995	Brasil		2013	2013-07-04	cerebrospinal fluid	clinical	Homo sapiens	Sao Paulo Adolfo Lutz Institute		150	3921634	-	-	KL1	OCL1	no	ninguna	r3-T1	
GCA_003325665.1	ensamblado_publico	PRJNA431093	SAMN08383932	Brasil		2010	2010-11-26	cerebrospinal fluid	clinical	Homo sapiens	Sao Paulo Adolfo Lutz Institute		144	3902768	1	-	KL1	OCL1	si	blaOXA-23	r3-T1	
GCA_003583525.1	ensamblado_publico	PRJNA489088	SAMN09951369	Bolivia	Cochabamba	2016	2016-12	Diabetic Foot	clinical	Homo sapiens	Hospital Viedma		423	3837618	991	1518	KL9	OCL21	si	blaOXA-23	r3-T1	
GCA_003583535.1	ensamblado_publico	PRJNA489088	SAMN09951367	Bolivia	Cochabamba	2016	2016-11	Pleural Fluid	clinical	Homo sapiens	Hospital Viedma		489	3798762	25	1489	KL22	OCL13	no	ninguna	ninguno	
GCA_003583565.1	ensamblado_publico	PRJNA489088	SAMN09951361	Bolivia	Cochabamba	2016	2016-11	Tracheal secretion	clinical	Homo sapiens	Hospital Viedma		462	4051242	25	1489	KL22	OCL13	si	blaOXA-23	ninguno	
GCA_003583575.1	ensamblado_publico	PRJNA489088	SAMN09951360	Bolivia	Cochabamba	2016	2016-11	Wound secretion	clinical	Homo sapiens	Hospital Viedma		474	3728164	25	1489	KL22	OCL13	si	blaOXA-23	ninguno	
GCA_003583605.1	ensamblado_publico	PRJNA489088	SAMN09951353	Bolivia	Cochabamba	2016	2016-09		clinical	Homo sapiens	Hospital Viedma		291	3859024	25	1489	KL22	OCL13	si	blaOXA-23	ninguno	
GCA_003583615.1	ensamblado_publico	PRJNA489088	SAMN09951333	Bolivia	Cochabamba	2016	2016-02	Tracheal secretion	clinical	Homo sapiens	Hospital Viedma		394	3957623	991	-	KL9	OCL13	si	blaOXA-23	r3-T1	
GCA_003583625.1	ensamblado_publico	PRJNA489088	SAMN09951363	Bolivia	Cochabamba	2016	2016-11	Wound secretion	clinical	Homo sapiens	Hospital Viedma		365	4033430	25	1489	KL22	OCL13	si	blaOXA-23	ninguno	
GCA_003583665.1	ensamblado_publico	PRJNA489088	SAMN09951355	Bolivia	Cochabamba	2016	2016-10	Ulcer	clinical	Homo sapiens	Hospital Viedma		338	4026887	15	236	KL9	OCL7	si	blaOXA-23	r3-T14	
GCA_003584255.1	ensamblado_publico	PRJNA489088	SAMN09951368	Bolivia	Cochabamba	2016	2016-12	Wound secretion	clinical	Homo sapiens	Hospital Viedma		240	4109502	25	1489	KL22	OCL5	si	blaOXA-23	ninguno	
GCA_003584275.1	ensamblado_publico	PRJNA489088	SAMN09951366	Bolivia	Cochabamba	2016	2016-11	Ulcer	clinical	Homo sapiens	Hospital Viedma		173	4111658	25	1489	KL22	OCL5	si	blaOXA-23	ninguno	
GCA_003584305.1	ensamblado_publico	PRJNA489088	SAMN09951365	Bolivia	Cochabamba	2016	2016-11	Blood culture	clinical	Homo sapiens	Hospital Viedma		527	3741819	25	-	KL22	OCL13	si	blaOXA-23	ninguno	
GCA_003584315.1	ensamblado_publico	PRJNA489088	SAMN09951364	Bolivia	Cochabamba	2016	2016-11	Tracheal secretion	clinical	Homo sapiens	Hospital Viedma		230	4102467	25	1489	KL22	OCL5	si	blaOXA-23	ninguno	
GCA_003584325.1	ensamblado_publico	PRJNA489088	SAMN09951362	Bolivia	Cochabamba	2016	2016-11	Tracheal secretion	clinical	Homo sapiens	Hospital Viedma		305	3886684	25	1489	KL22	OCL13	no	ninguna	ninguno	
GCA_003584365.1	ensamblado_publico	PRJNA489088	SAMN09951358	Bolivia	Cochabamba	2016	2016-11	Urine Culture	clinical	Homo sapiens	Hospital Viedma		555	3769058	25	1489	KL22	OCL13	si	blaOXA-23	ninguno	
GCA_003584375.1	ensamblado_publico	PRJNA489088	SAMN09951357	Bolivia	Cochabamba	2016	2016-10	Tracheal secretion	clinical	Homo sapiens	Hospital Viedma		514	4151175	25	1528	KL49	OCL13	si	blaOXA-23	rP-T1	
GCA_003584385.1	ensamblado_publico	PRJNA489088	SAMN09951356	Bolivia	Cochabamba	2016	2016-10		clinical	Homo sapiens	Hospital Viedma		285	4172967	25	1519	KL33	OCL13	si	blaOXA-23	r3-T1,rP-T1	
GCA_003584425.1	ensamblado_publico	PRJNA489088	SAMN09951354	Bolivia	Cochabamba	2016	2016-10	Ulcer	clinical	Homo sapiens	Hospital Viedma		167	4112356	25	1489	KL22	OCL5	si	blaOXA-23	ninguno	
GCA_003584445.1	ensamblado_publico	PRJNA489088	SAMN09951352	Bolivia	Cochabamba	2016	2016-08	Blood culture	clinical	Homo sapiens	Hospital Viedma		332	3909671	25	1489	KL22	OCL5	si	blaOXA-23	ninguno	
GCA_003584455.1	ensamblado_publico	PRJNA489088	SAMN09951351	Bolivia	Cochabamba	2016	2016-07	Exudate (leg)	clinical	Homo sapiens	Hospital Viedma		264	3866318	25	1528	KL49	OCL13	si	blaOXA-23	r1-T4,r3-T1	
GCA_003584485.1	ensamblado_publico	PRJNA489088	SAMN09951330	Bolivia	Cochabamba	2016	2016-02	Urine Culture	clinical	Homo sapiens	Hospital Viedma		171	4249136	25	1519	KL33	OCL5	si	blaOXA-23	r3-T1,rP-T1	
GCA_003584505.1	ensamblado_publico	PRJNA489088	SAMN09951327	Bolivia	Cochabamba	2016	2016-06	Bronchial Secretion	clinical	Homo sapiens	Hospital Materno-Infantil		118	3929808	991	1518	KL9	OCL5	si	blaOXA-23	r3-T1	
GCA_003584515.1	ensamblado_publico	PRJNA489088	SAMN09951359	Bolivia	Cochabamba	2016	2016-11	Wound secretion	clinical	Homo sapiens	Hospital Viedma		248	4102242	25	1489	KL22	OCL5	si	blaOXA-23	ninguno	
GCA_003584535.1	ensamblado_publico	PRJNA489088	SAMN09951341	Bolivia	Cochabamba	2016	2016-03	Tracheal secret.	clinical	Homo sapiens	Hospital Viedma		162	4155987	991	1518	KL9	OCL5	si	blaOXA-23	r3-T1	
GCA_003595665.1	ensamblado_publico	PRJNA489088	SAMN09951350	Bolivia	Cochabamba	2016	2016-06	Wound secretion	clinical	Homo sapiens	Hospital Viedma		311	3970016	25	1519	KL33	OCL5	si	blaOXA-23	ninguno	
GCA_003595675.1	ensamblado_publico	PRJNA489088	SAMN09951349	Bolivia	Cochabamba	2016	2016-05	Urine Culture	clinical	Homo sapiens	Hospital Viedma		418	4128437	25	1519	KL33	OCL13	si	blaOXA-23	r3-T1,rP-T1	
GCA_003595685.1	ensamblado_publico	PRJNA489088	SAMN09951348	Bolivia	Cochabamba	2016	2016-05	Fluid (Bone tissue)	clinical	Homo sapiens	Hospital Viedma		443	4087112	25	1519	KL33	OCL5	si	blaOXA-23	r3-T1,rP-T1	
GCA_003595745.1	ensamblado_publico	PRJNA489088	SAMN09951347	Bolivia	Cochabamba	2016	2016-05	Tracheal secretion	clinical	Homo sapiens	Hospital Viedma		282	4063576	991	1518	KL9	OCL5	si	blaOXA-23	r3-T1	
