accesion	pais	st_pasteur	anio	carbapenemasa	genes_carb	st_oxford	kl	ocl	rep_apt
ERR17057731	Colombia	79	2021	si	blaOXA-23	124	KL151	OCL10	r3-T26
ERR17057733	Colombia	108	2021	no	ninguna	105	KL33	OCL1	r3-T13,r3-T50
ERR17057735	Colombia	108	2021	no	ninguna	-	KL23	OCL1	ninguno
ERR17057736	Colombia	424	2021	no	ninguna	552	KL48	OCL5	r3-T27,r3-T7
ERR17057737	Colombia	464	2021	si	blaNDM-1	1752	KL121	OCL6	r3-T12,r3-T13,r3-T3
ERR17057738	Colombia	464	2021	si	blaNDM-1	1752	KL121	OCL6	r3-T12,r3-T13,r3-T3
ERR17057744	Colombia	1094	2021	no	ninguna	-	KL145	OCL5	r3-T6
ERR4436639	Argentina	25	NA	si	blaOXA-23	1489	KL81	OCL10	r3-T14
ERR4436640	Argentina	15	NA	no	ninguna	225	KL22	OCL7	r3-T14,r3-T3
ERR4436744	Colombia	79	NA	si	blaOXA-23	124	KL151	OCL10	r3-T26
ERR5709464	Bolivia	15	NA	si	blaOXA-23	236	KL9	OCL7	r3-T14
ERR5709466	Chile	15	NA	no	ninguna	236	KL9	OCL7	r3-T13,r3-T14,r3-T3
ERR5709481	Argentina	15	NA	si	blaOXA-58	236	KL9	OCL7	r3-T14
GCA_000757665.1	Argentina	79	2012	si	blaOXA-23	227	KL22	OCL10	ninguno
GCA_000814345.1	Colombia	464	2012	si	blaNDM	1161	KL31	OCL6	r3-T13,r3-T3
GCA_000836625.1	Argentina	1	1994	no	ninguna	-	KL1	OCL1	r3-T13,r3-T14
GCA_000966305.1	Chile	-	2007	si	blaOXA-58	235	KL19	OCL1	r3-T13,r3-T18
GCA_000988155.1	Brasil	15	2009	si	blaOXA-23	236	KL81	OCL7	r3-T14,r3-T3,rP-T1
GCA_001007775.1	Argentina	25	2011	si	blaOXA-23	1489	KL9	OCL10	ninguno
GCA_001500225.1	Brasil	15	2003	no	ninguna	-	KL9	OCL7	r3-T13,r3-T14,r3-T3
GCA_001649615.1	Brasil	317	2010	si	blaOXA-23	407	KL11	OCL8	r1-T18,r3-T14
GCA_001649625.1	Brasil	317	2010	no	ninguna	407	KL11	OCL8	r1-T18,r3-T14
GCA_001649675.1	Brasil	79	2011	si	blaOXA-23	-	KL9	OCL10	r3-T1
GCA_001649705.1	Brasil	79	2011	si	blaOXA-23	233	KL9	OCL10	r3-T1,rP-T1
GCA_001649765.1	Brasil	79	2011	si	blaOXA-23	-	KL49	OCL10	r3-T1
GCA_001649795.1	Brasil	79	2011	si	blaOXA-23	-	KL49	OCL10	r3-T1
GCA_001649805.1	Brasil	79	2011	si	blaOXA-23	-	KL49	OCL10	ninguno
GCA_001649815.1	Brasil	107	2013	no	ninguna	1552	KL47	OCL17	r1-T18,r3-T69
GCA_001649875.1	Brasil	79	2011	si	blaOXA-23	-	KL49	OCL10	r3-T1
GCA_001649895.1	Brasil	79	2011	si	blaOXA-23	233	KL49	OCL10	r3-T1
GCA_001649955.1	Brasil	79	2012	si	blaOXA-23	-	KL49	OCL10	r3-T1
GCA_001649975.1	Brasil	317	2012	si	blaOXA-23	-	KL11	OCL8	r1-T18,r3-T14
GCA_001758065.1	Brasil	32	2002	si	blaIMP-1	472	KL22	OCL6	r3-T31
GCA_001758135.1	Brasil	79	2011	no	ninguna	-	KL9	OCL3	r3-T1
GCA_001758165.1	Brasil	107	2004	si	blaOXA-143	1552	KL47	OCL17	r3-T43,rP-T1
GCA_001891205.1	Colombia	920	2014	si	blaOXA-72	2127	KL172	OCL4	r3-T13,r3-T3
GCA_002018935.1	Brasil	79	2010	si	blaOXA-23	233	KL9	OCL10	r3-T1,r3-T57
GCA_002018965.1	Brasil	79	2010	si	blaOXA-23	233	KL9	OCL10	r3-T1,r3-T57
GCA_002018995.1	Brasil	79	2011	si	blaOXA-23	-	KL9	OCL10	r3-T1
GCA_002019005.1	Brasil	79	2011	si	blaOXA-23	-	KL9	OCL10	r3-T1
GCA_002019025.1	Brasil	79	2011	si	blaOXA-23	-	KL9	OCL10	r3-T1
GCA_002019035.1	Brasil	79	2011	si	blaOXA-23	-	KL49	OCL10	r3-T1
GCA_002245595.1	Brasil	1	2012	si	blaOXA-23	231	KL1	OCL1	ninguno
GCA_002250465.1	Brasil	730	2014	si	blaOXA-23	-	KL33	OCL10	r3-T1
GCA_002922935.1	Brasil	107	2008	si	blaOXA-231	1552	KL47	OCL17	r3-T69
GCA_003130565.1	Chile	15	2017	no	ninguna	225	KL22	OCL7	r3-T14
GCA_003325575.1	Brasil	1	2014	si	blaOXA-23	-	KL1	OCL1	r3-T1,rP-T1
GCA_003325635.1	Brasil	-	2013	no	ninguna	-	KL1	OCL1	r3-T1
GCA_003325665.1	Brasil	1	2010	si	blaOXA-23	-	KL1	OCL1	r3-T1
GCA_003583525.1	Bolivia	991	2016	si	blaOXA-23	1518	KL9	OCL21	r3-T1
GCA_003583535.1	Bolivia	25	2016	no	ninguna	1489	KL22	OCL13	ninguno
GCA_003583565.1	Bolivia	25	2016	si	blaOXA-23	1489	KL22	OCL13	ninguno
GCA_003583575.1	Bolivia	25	2016	si	blaOXA-23	1489	KL22	OCL13	ninguno
GCA_003583605.1	Bolivia	25	2016	si	blaOXA-23	1489	KL22	OCL13	ninguno
GCA_003583615.1	Bolivia	991	2016	si	blaOXA-23	-	KL9	OCL13	r3-T1
GCA_003583625.1	Bolivia	25	2016	si	blaOXA-23	1489	KL22	OCL13	ninguno
GCA_003583665.1	Bolivia	15	2016	si	blaOXA-23	236	KL9	OCL7	r3-T14
GCA_003584255.1	Bolivia	25	2016	si	blaOXA-23	1489	KL22	OCL5	ninguno
GCA_003584275.1	Bolivia	25	2016	si	blaOXA-23	1489	KL22	OCL5	ninguno
GCA_003584305.1	Bolivia	25	2016	si	blaOXA-23	-	KL22	OCL13	ninguno
GCA_003584315.1	Bolivia	25	2016	si	blaOXA-23	1489	KL22	OCL5	ninguno
GCA_003584325.1	Bolivia	25	2016	no	ninguna	1489	KL22	OCL13	ninguno
GCA_003584365.1	Bolivia	25	2016	si	blaOXA-23	1489	KL22	OCL13	ninguno
GCA_003584375.1	Bolivia	25	2016	si	blaOXA-23	1528	KL49	OCL13	rP-T1
GCA_003584385.1	Bolivia	25	2016	si	blaOXA-23	1519	KL33	OCL13	r3-T1,rP-T1
GCA_003584425.1	Bolivia	25	2016	si	blaOXA-23	1489	KL22	OCL5	ninguno
GCA_003584445.1	Bolivia	25	2016	si	blaOXA-23	1489	KL22	OCL5	ninguno
GCA_003584455.1	Bolivia	25	2016	si	blaOXA-23	1528	KL49	OCL13	r1-T4,r3-T1
GCA_003584485.1	Bolivia	25	2016	si	blaOXA-23	1519	KL33	OCL5	r3-T1,rP-T1
GCA_003584505.1	Bolivia	991	2016	si	blaOXA-23	1518	KL9	OCL5	r3-T1
GCA_003584515.1	Bolivia	25	2016	si	blaOXA-23	1489	KL22	OCL5	ninguno
GCA_003584535.1	Bolivia	991	2016	si	blaOXA-23	1518	KL9	OCL5	r3-T1
GCA_003595665.1	Bolivia	25	2016	si	blaOXA-23	1519	KL33	OCL5	ninguno
GCA_003595675.1	Bolivia	25	2016	si	blaOXA-23	1519	KL33	OCL13	r3-T1,rP-T1
GCA_003595685.1	Bolivia	25	2016	si	blaOXA-23	1519	KL33	OCL5	r3-T1,rP-T1
GCA_003595745.1	Bolivia	991	2016	si	blaOXA-23	1518	KL9	OCL5	r3-T1
GCA_003595755.1	Bolivia	991	2016	si	blaOXA-23	1518	KL9	OCL5	rP-T1
GCA_003595765.1	Bolivia	25	2016	si	blaOXA-23	1519	KL33	OCL5	r3-T1
GCA_003595805.1	Bolivia	991	2016	si	blaOXA-23	1518	KL9	OCL5	r3-T1
GCA_003595815.1	Bolivia	25	2016	si	blaOXA-23	1529	KL37	OCL10	r3-T14
GCA_003595835.1	Bolivia	991	2016	si	blaOXA-23	1518	KL9	OCL5	r3-T1
GCA_003595865.1	Bolivia	25	2016	si	blaOXA-23	1529	KL37	OCL10	r3-T14
GCA_003595875.1	Bolivia	79	2016	no	ninguna	-	KL9	OCL10	r3-T1,rP-T1
GCA_003595885.1	Bolivia	991	2016	no	ninguna	1518	KL9	OCL13	r3-T1
GCA_003595925.1	Bolivia	25	2016	si	blaOXA-23	1519	KL33	OCL5	r3-T1,rP-T1
GCA_003595935.1	Bolivia	25	2016	si	blaOXA-23	1489	KL22	OCL5	ninguno
GCA_003595955.1	Bolivia	25	2016	si	blaOXA-23	1489	KL22	OCL13	ninguno
GCA_003595985.1	Bolivia	79	2016	no	ninguna	-	KL22	OCL10	r3-T1,rP-T1
GCA_003595995.1	Bolivia	991	2016	si	blaOXA-23	1518	KL9	OCL13	ninguno
GCA_003596015.1	Bolivia	991	2016	si	blaOXA-23	1518	KL9	OCL13	ninguno
GCA_003596025.1	Bolivia	991	2015	si	blaOXA-23	1518	KL9	OCL5	r3-T1
GCA_003596065.1	Bolivia	991	2015	si	blaOXA-23	1518	KL9	OCL5	r3-T1
GCA_003596075.1	Bolivia	991	2015	si	blaOXA-23	1518	KL9	OCL5	r3-T1
GCA_003596105.1	Bolivia	991	2015	si	blaOXA-23	1518	KL9	OCL13	r3-T1
GCA_003596125.1	Bolivia	25	2016	si	blaOXA-23	1529	KL127	OCL10	r3-T14,rP-T1
GCA_003596135.1	Bolivia	25	2016	si	blaOXA-23	1519	KL33	OCL13	r3-T1,r3-T14
GCA_003596165.1	Bolivia	267	2016	no	ninguna	942	KL9	OCL2	r3-T13,rP-T1
GCA_003596175.1	Bolivia	25	2016	si	blaOXA-23	1528	KL49	OCL13	r3-T1
GCA_003596205.1	Bolivia	25	2016	si	blaOXA-23	1519	KL33	OCL13	r3-T1,rP-T1
GCA_003596215.1	Bolivia	79	2016	no	ninguna	-	KL9	OCL10	rP-T1
GCA_003596235.1	Bolivia	25	2016	si	blaOXA-23	1519	KL33	OCL5	r3-T1,rP-T1
GCA_003596265.1	Bolivia	991	2016	si	blaOXA-23	1518	KL9	OCL13	r3-T1
GCA_003596275.1	Bolivia	991	2015	si	blaOXA-23	1518	KL9	OCL5	r3-T1
GCA_003597385.1	Bolivia	991	2015	si	blaOXA-23	1518	KL9	OCL5	r3-T1
GCA_003697885.1	Brasil	108	2013	no	ninguna	-	KL155	OCL1	ninguno
GCA_003812485.1	Brasil	79	2008	si	blaOXA-23	-	KL49	OCL10	r3-T1,r3-T14,r3-T22,r3-T24
GCA_004282835.1	Brasil	78	2016	si	blaOXA-72	-	KL3	OCL1	ninguno
GCA_004282845.1	Brasil	78	2016	si	blaOXA-72	-	KL3	OCL1	ninguno
GCA_004347305.1	Brasil	1	2017	si	blaOXA-23	-	KL18	OCL1	r3-T1,r3-T14
GCA_004347325.1	Brasil	79	2017	no	ninguna	-	KL49	OCL10	r3-T1,r3-T14
GCA_004359905.1	Brasil	79	2017	si	blaOXA-72	-	KL210	OCL10	r3-T1,r3-T14
GCA_006493735.1	Peru	79	2013	no	ninguna	-	KL4	OCL10	r3-T1,r3-T18
GCA_006493975.1	Peru	193	2013	si	blaIMP-16	1110	KL52	OCL6	r3-T7
GCA_006494085.1	Peru	1126	2012	no	ninguna	1988	KL3	OCL2	r3-T3,r3-T5,r3-T57
GCA_006494575.1	Peru	106	2012	no	ninguna	-	KL157	OCL6	r3-T7,r3-T94
GCA_006843645.1	Argentina	25	2016	si	blaOXA-23	490	KL149	OCL5	r3-T3
GCA_008180145.1	Brasil	730	2016	si	blaOXA-23	-	KL22	OCL10	r3-T1,r3-T13
GCA_008477565.1	Argentina	15	1997	no	ninguna	104	KL77	OCL7	r3-T3
GCA_009754965.1	Brasil	1	2011	si	blaOXA-23	-	KL149	OCL10	r3-T1,r3-T13
GCA_009754985.1	Brasil	374	1996	no	ninguna	-	KL9	OCL2	r3-T1,r3-T16,rP-T1
GCA_009828675.1	Brasil	162	2016	si	blaOXA-23	235	KL19	OCL1	r3-T13
GCA_009829525.1	Brasil	79	2016	si	blaOXA-23	-	KL9	OCL10	ninguno
GCA_009829535.1	Brasil	79	2016	si	blaOXA-72	-	KL210	OCL10	r3-T1,r3-T14
GCA_009829545.1	Brasil	1	2016	si	blaOXA-23,blaOXA-72	-	KL18	OCL1	r3-T1
GCA_009829555.1	Brasil	1448	2016	si	blaOXA-23	229	KL14	OCL17	r3-T1,r3-T67
GCA_009829595.1	Brasil	25	2016	si	blaOXA-23	229	KL139	OCL6	ninguno
GCA_009829755.1	Argentina	15	1999	no	ninguna	692	KL81	OCL7	ninguno
GCA_009898245.1	Brasil	15	2016	si	blaOXA-23	2141	KL81	OCL7	r3-T13,r3-T14,rP-T1
GCA_012276735.1	Brasil	1	2017	si	blaOXA-23	-	KL17	OCL1	r3-T1
GCA_012276745.1	Brasil	79	2017	si	blaOXA-23	758	KL9	OCL10	r3-T26,rP-T1
GCA_012277115.1	Brasil	79	2016	si	blaOXA-23	758	KL9	OCL10	rP-T1
GCA_012515875.1	Brasil	-	2016	no	ninguna	-	KL51	OCL1	ninguno
GCA_012524085.1	Argentina	172	2011	no	ninguna	-	KL51	OCL1	ninguno
GCA_012524275.1	Argentina	25	2011	si	blaOXA-23	490	KL149	OCL5	r3-T14
GCA_012781995.1	Brasil	15	2017	si	blaOXA-23	2594	KL77	OCL7	r3-T14
GCA_012955825.1	Brasil	15	2018	si	blaOXA-23	236	KL81	OCL7	r3-T14
GCA_012955845.1	Brasil	15	2018	si	blaOXA-23	236	KL81	OCL7	r3-T14
GCA_012956585.1	Brasil	15	2018	si	blaOXA-23	236	KL81	OCL7	r3-T14
GCA_013138415.1	Brasil	1	2016	si	blaOXA-23	-	KL18	OCL1	r3-T1,r3-T15
GCA_013138435.1	Brasil	1	2016	si	blaOXA-23	-	KL18	OCL1	r3-T15,r3-T8,rP-T1
GCA_013138475.1	Brasil	1	2016	si	blaOXA-23	-	KL18	OCL1	r3-T1
GCA_013184005.1	Argentina	172	1995	no	ninguna	-	KL51	OCL1	ninguno
GCA_015536845.1	Brasil	15	2016	si	blaOXA-23	236	KL81	OCL7	r3-T13,r3-T14,r3-T3
GCA_015536855.1	Brasil	15	2016	si	blaOXA-23	2141	KL81	OCL7	r3-T13,r3-T14
GCA_015536865.1	Brasil	1448	2016	si	blaOXA-23	229	KL14	OCL17	r3-T1,r3-T67
GCA_015536875.1	Brasil	79	2017	si	blaOXA-23	-	KL9	OCL10	r3-T1,rP-T1
GCA_015536925.1	Brasil	15	2012	si	blaOXA-23	225	KL3	OCL7	r3-T13,r3-T14,r3-T3
GCA_015536935.1	Brasil	79	2016	si	blaOXA-23	-	KL9	OCL10	r3-T1,rP-T1
GCA_015536955.1	Brasil	79	2016	si	blaOXA-72	-	KL210	OCL10	r3-T1
GCA_015536965.1	Brasil	730	2017	si	blaOXA-72	227	KL22	OCL10	r3-T13,r3-T16,rP-T1
GCA_015537035.1	Brasil	25	2016	si	blaOXA-23	229	KL139	OCL10	r3-T1
GCA_015537045.1	Brasil	15	2016	si	blaOXA-23	236	KL9	OCL7	r3-T14
GCA_015537085.1	Brasil	25	2018	si	blaOXA-23	229	KL139	OCL10	r3-T1,r3-T16,rP-T1
GCA_015537095.1	Brasil	79	2016	si	blaOXA-72	-	KL49	OCL10	r3-T1,r3-T14
GCA_015537125.1	Brasil	15	2016	si	blaOXA-23	225	KL22	OCL7	r3-T1,r3-T13
GCA_015537145.1	Brasil	25	2016	si	blaOXA-23	229	KL139	OCL10	r3-T1
GCA_015537155.1	Brasil	79	2016	si	blaOXA-23	-	KL9	OCL10	r3-T1,rP-T1
GCA_015537165.1	Brasil	-	2010	si	blaOXA-23	236	KL9	OCL7	r3-T14,r3-T23,r3-T3,r3-T55
GCA_015537175.1	Brasil	79	2017	si	blaOXA-72	-	KL49	OCL10	r3-T1,r3-T14
GCA_015537225.1	Brasil	1	2016	si	blaOXA-23	-	KL18	OCL1	r3-T1,r3-T62
GCA_015537245.1	Brasil	25	2016	si	blaOXA-23,blaOXA-72	229	KL139	OCL10	r3-T1,r3-T14,r3-T9
GCA_015537255.1	Brasil	15	2013	si	blaOXA-23	225	KL22	OCL7	r3-T1,r3-T13
GCA_015537275.1	Brasil	79	2016	si	blaOXA-72	233	KL49	OCL10	r3-T1,r3-T14
GCA_015537285.1	Brasil	1	2017	si	blaOXA-23	-	KL1	OCL1	r3-T1
GCA_015537295.1	Brasil	79	2016	si	blaOXA-23	-	KL9	OCL10	r3-T1,rP-T1
GCA_015537345.1	Brasil	15	2016	no	ninguna	225	KL22	OCL7	r3-T1,r3-T14,r3-T3
GCA_015537365.1	Brasil	79	2016	si	blaOXA-23	-	KL9	OCL10	r3-T1,rP-T1
GCA_015537385.1	Brasil	1447	2016	si	blaOXA-23	225	KL22	OCL7	r3-T1,r3-T13
GCA_015537405.1	Brasil	25	2016	si	blaOXA-23,blaOXA-72	229	KL139	OCL10	r3-T1,r3-T14,r3-T9
GCA_015537415.1	Brasil	15	2012	si	blaOXA-23	236	KL9	OCL7	r3-T13,r3-T14
GCA_015537445.1	Brasil	1	2016	si	blaOXA-23	-	KL1	OCL1	ninguno
GCA_015537465.1	Brasil	79	2016	si	blaOXA-23	-	KL49	OCL10	r3-T1
GCA_015537485.1	Brasil	49	2016	no	ninguna	128	KL11	OCL8	r3-T3
GCA_015537505.1	Brasil	1	2016	si	blaOXA-23	-	KL18	OCL1	r3-T1
GCA_015537525.1	Brasil	25	2016	si	blaOXA-23	229	KL139	OCL10	r3-T1
GCA_015537535.1	Brasil	15	2016	si	blaOXA-23	225	KL22	OCL7	r3-T1,r3-T13,r3-T3
GCA_015537565.1	Brasil	25	2013	si	blaOXA-23	229	KL139	OCL10	r3-T1
GCA_015537575.1	Brasil	1	2017	si	blaOXA-23	-	KL18	OCL1	r3-T1,r3-T3
GCA_015537605.1	Brasil	79	2016	si	blaOXA-72	-	KL81	OCL10	r3-T1,rP-T1
GCA_015537615.1	Brasil	79	2016	si	blaOXA-72	-	KL49	OCL10	r3-T1,r3-T14
GCA_015537635.1	Brasil	79	2016	si	blaOXA-23	1615	KL167	OCL10	r3-T1
GCA_015537665.1	Brasil	730	2016	si	blaOXA-23	-	KL22	OCL10	r3-T1,r3-T13,rP-T1
GCA_015537675.1	Brasil	1	2016	si	blaOXA-23	-	KL18	OCL1	r3-T1,r3-T33
GCA_015537705.1	Brasil	79	2016	si	blaOXA-23	-	KL9	OCL10	r3-T1,rP-T1
GCA_015537725.1	Brasil	15	2016	si	blaOXA-23	225	KL22	OCL7	r3-T1,r3-T13,r3-T3
GCA_015537745.1	Brasil	15	2016	si	blaOXA-23	225	KL22	OCL7	r3-T1,r3-T13,r3-T3
GCA_015537755.1	Brasil	1	2016	si	blaOXA-23	-	KL18	OCL1	r3-T1
GCA_015537765.1	Brasil	163	2016	si	blaOXA-23	235	KL19	OCL1	r3-T13
GCA_015537775.1	Brasil	15	2016	si	blaOXA-23	225	KL3	OCL7	r3-T13,r3-T14,r3-T3
GCA_015537825.1	Brasil	25	2017	si	blaOXA-23	690	KL22	OCL10	r3-T1
GCA_015537845.1	Brasil	730	2016	si	blaOXA-23	-	KL22	OCL10	r3-T1,r3-T13,rP-T1
GCA_015537855.1	Brasil	15	2016	si	blaOXA-23	225	KL22	OCL7	r3-T1,r3-T13,r3-T3
GCA_015537865.1	Brasil	1	2016	si	blaOXA-23	-	KL18	OCL1	r3-T1
GCA_015537905.1	Brasil	1	2016	si	blaOXA-23	-	KL18	OCL1	r3-T1
GCA_015537915.1	Brasil	1	2016	si	blaOXA-23	-	KL18	OCL1	r3-T1
GCA_015537945.1	Brasil	1	2016	si	blaOXA-23	-	KL18	OCL1	r3-T1
GCA_015537965.1	Brasil	1	2013	si	blaOXA-23	-	KL18	OCL1	r3-T1,rP-T1
GCA_015537975.1	Brasil	1	2017	si	blaOXA-23	-	KL18	OCL1	r3-T1
GCA_015537995.1	Brasil	79	2016	si	blaOXA-23	-	KL9	OCL10	r3-T1,rP-T1
GCA_015538025.1	Brasil	25	2016	no	ninguna	2593	KL200	OCL6	r3-T1,r3-T14,r3-T67
GCA_015538045.1	Brasil	15	2016	si	blaOXA-23	2141	KL81	OCL7	r3-T13,r3-T14,rP-T1
GCA_015538055.1	Brasil	1	2016	si	blaOXA-23	-	KL18	OCL1	r3-T1
GCA_015538085.1	Brasil	15	2016	si	blaOXA-23	225	KL22	OCL7	r3-T1,r3-T13,r3-T3
GCA_015538105.1	Brasil	79	2016	si	blaOXA-72	-	KL49	OCL10	r3-T1,r3-T14
GCA_015538125.1	Brasil	20	2008	si	blaOXA-23	-	KL1	OCL1	ninguno
GCA_015538135.1	Brasil	15	2016	si	blaOXA-23	236	KL9	OCL7	r3-T13,r3-T14,r3-T3
GCA_015538155.1	Brasil	151	2016	si	blaOXA-23	2592	KL199	OCL5	r3-T13,rP-T1
GCA_015538165.1	Brasil	79	2016	si	blaOXA-72	-	KL49	OCL10	r3-T1,r3-T14
GCA_015538205.1	Brasil	25	2016	si	blaOXA-23	229	KL139	OCL10	r3-T1,r3-T14,r3-T9
GCA_015538225.1	Brasil	15	2016	si	blaOXA-23	225	KL22	OCL7	r3-T1,r3-T13
GCA_015538235.1	Brasil	1	2017	si	blaOXA-23	-	KL1	OCL1	r3-T1
GCA_015538255.1	Brasil	79	2016	si	blaOXA-23	-	KL9	OCL10	r3-T1,rP-T1
GCA_015538275.1	Brasil	1	2017	si	blaOXA-23	-	KL1	OCL1	r3-T1
GCA_015538305.1	Brasil	25	2016	si	blaOXA-23	229	KL139	OCL10	r3-T1,rP-T1
GCA_015538325.1	Brasil	79	2016	si	blaOXA-72	-	KL49	OCL10	r3-T1,r3-T14
GCA_015538335.1	Brasil	1	2016	si	blaOXA-23	-	KL18	OCL1	r3-T1
GCA_015538345.1	Brasil	15	2016	si	blaOXA-23	236	KL81	OCL7	r3-T14
GCA_015538355.1	Brasil	1	2016	si	blaOXA-23	-	KL18	OCL1	r3-T1
GCA_015666275.1	Brasil	79	2020	si	blaOXA-23	-	KL81	OCL10	r3-T1
GCA_015666285.1	Brasil	-	2020	no	ninguna	236	KL81	OCL7	r3-T14
GCA_015666365.1	Brasil	79	2020	si	blaOXA-72	-	KL22	OCL10	r3-T1,r3-T14
GCA_015666475.1	Brasil	79	2020	si	blaOXA-23	-	KL9	OCL10	r3-T1
GCA_015666515.1	Brasil	1	2020	si	blaOXA-23	-	KL1	OCL1	r3-T1
GCA_015666535.1	Brasil	25	2020	no	ninguna	229	KL14	OCL6	r3-T14,r3-T67
GCA_016054925.1	Brasil	848	2020	si	blaGES-11	-	KL134	OCL6	r3-T137,r3-T24,r3-T6
GCA_016054975.1	Brasil	78	2020	si	blaOXA-72	1961	KL3	OCL1	ninguno
GCA_016055015.1	Brasil	79	2020	si	blaOXA-23	-	KL22	OCL10	r3-T1
GCA_016055335.1	Brasil	79	2020	si	blaOXA-23	-	KL9	OCL10	r3-T1
GCA_016055475.1	Brasil	79	2020	si	blaOXA-23	-	KL22	OCL10	r3-T1
GCA_016055485.1	Brasil	79	2018	no	ninguna	-	KL9	OCL10	r1-T24,r3-T1,r3-T13,r3-T14
GCA_016055595.1	Brasil	79	2019	si	blaOXA-23	-	KL9	OCL10	r3-T1,r3-T12,r3-T18,r3-T2
GCA_016055685.1	Brasil	79	2019	no	ninguna	-	KL9	OCL10	r1-T24,r3-T1,r3-T13,r3-T14
GCA_016055715.1	Brasil	1	2019	si	blaOXA-23	2323	KL18	OCL1	r3-T1
GCA_016055835.1	Brasil	79	2019	si	blaOXA-23	-	KL27	OCL10	r3-T1,r3-T3
GCA_016055945.1	Brasil	1	2019	si	blaKPC,blaOXA-23	-	KL18	OCL1	r3-T1
GCA_016056005.1	Brasil	1	2019	si	blaOXA-23	-	KL18	OCL1	r3-T14
GCA_016056045.1	Brasil	79	2019	no	ninguna	-	KL9	OCL10	r1-T24,r3-T1,r3-T13
GCA_016056095.1	Brasil	25	2019	si	blaOXA-23,blaOXA-72	229	KL139	OCL10	r3-T1,r3-T14,rP-T1
