genoma	tipo_rep	contig	rep_ini	rep_fin	contig_len	pident	cov
ERR17057729	r3-T80	contig00076	5692	6639	8135	96.52	100.0
ERR17057730	r3-T26	contig00109	4302	5243	5392	100.0	100.0
ERR17057731	r3-T26	contig00109	4314	5255	5392	100.0	100.0
ERR17057732	r3-T21	contig00024	27290	28462	43413	99.83	100.0
ERR17057732	r3-T78	contig00035	4431	5351	5498	95.11	99.0
ERR17057732	r3-T91	contig00032	10084	10998	15781	100.0	100.0
ERR17057733	r3-T13	contig00024	1391	2320	4039	100.0	100.0
ERR17057733	r3-T50	contig00016	18347	19300	19442	100.0	100.0
ERR17057736	r3-T27	contig00052	7994	8932	27325	100.0	100.0
ERR17057736	r3-T7	contig00082	273	1445	7989	100.0	100.0
ERR17057737	r3-T12	contig00053	10429	11379	12283	100.0	100.0
ERR17057737	r3-T13	contig00064	1632	2561	3336	100.0	100.0
ERR17057737	r3-T3	contig00012	73478	74599	114923	100.0	100.0
ERR17057738	r3-T12	contig00053	548	1498	12365	100.0	100.0
ERR17057738	r3-T13	contig00056	1407	2336	8071	100.0	100.0
ERR17057738	r3-T3	contig00012	49960	51081	114361	100.0	100.0
ERR17057744	r3-T6	contig00039	3070	3999	8914	100.0	100.0
ERR4436639	r3-T14	contig00078	9876	10799	10975	100.0	100.0
ERR4436640	r3-T14	contig00072	1622	2545	16014	100.0	100.0
ERR4436640	r3-T3	contig00036	33035	34156	37672	100.0	100.0
ERR4436744	r3-T26	contig00130	2328	3269	5408	100.0	100.0
ERR5709464	r3-T14	contig00084	7757	8680	10975	100.0	100.0
ERR5709466	r3-T13	contig00068	2422	3351	4234	100.0	100.0
ERR5709466	r3-T14	contig00057	1602	2525	10282	100.0	100.0
ERR5709466	r3-T3	contig00030	26254	27375	41413	100.0	100.0
ERR5709481	r3-T14	contig00032	9500	10423	16442	100.0	100.0
GCA_000763365.1	r3-T13	JQSF01000009.1	8686	9615	15324	100.0	100.0
GCA_000763365.1	r3-T14	JQSF01000049.1	1738	2661	10589	100.0	100.0
GCA_000814165.3	r3-T20	CP010903.1	43603	44808	66409	100.0	100.0
GCA_000814165.3	r3-T67	CP010903.1	56710	57618	66409	96.59	100.0
GCA_000814165.3	r3-T7	CP010369.1	46800	47972	89111	100.0	100.0
GCA_000814345.1	r3-T13	CP010400.1	7617	8546	9327	100.0	100.0
GCA_000814345.1	r3-T3	CP010398.1	109470	110591	114848	100.0	100.0
GCA_000836625.1	r3-T13	JXSV01000049.1	121	1050	1830	100.0	100.0
GCA_000836625.1	r3-T14	JXSV01000040.1	7913	8836	10569	100.0	100.0
GCA_000966305.1	r3-T13	LANH01000059.1	4043	4972	5792	100.0	100.0
GCA_000966305.1	r3-T18	LANH01000107.1	1416	2366	4326	100.0	100.0
GCA_000988155.1	r3-T14	LAXF01000042.1	1711	2634	10490	100.0	100.0
GCA_000988155.1	r3-T3	LAXF01000040.1	16862	17983	34702	100.0	100.0
GCA_000988155.1	rP-T1	LAXF01000049.1	1918	3093	13806	100.0	100.0
GCA_001500225.1	r3-T13	LMZH01000072.1	1811	2740	4101	100.0	100.0
GCA_001500225.1	r3-T14	LMZH01000002.1	2913	3836	9412	100.0	100.0
GCA_001500225.1	r3-T3	LMZH01000063.1	33077	34198	67062	100.0	100.0
GCA_001617545.1	r3-T152	CP015148.1	2754	3701	5813	100.0	100.0
GCA_001617545.1	r3-T164	CP015147.1	522	1460	5562	100.0	100.0
GCA_001617545.1	r3-T8	CP015146.1	376	1263	10498	100.0	100.0
GCA_001649615.1	r1-T18	LUUW01000412.1	1292	2503	3018	96.12	100.0
GCA_001649615.1	r3-T14	LUUW01000148.1	9296	10219	13138	100.0	100.0
GCA_001649625.1	r1-T18	LUUV01000374.1	921	2132	3018	96.12	100.0
GCA_001649625.1	r3-T14	LUUV01000120.1	4608	5531	9212	100.0	100.0
GCA_001649675.1	r3-T1	LUUZ01000357.1	5361	6311	8871	100.0	100.0
GCA_001649705.1	r3-T1	LUVB01000892.1	1051	2001	3604	100.0	100.0
GCA_001649705.1	rP-T1	LUVB01000562.1	70	1245	1326	100.0	100.0
GCA_001649765.1	r3-T1	LUVG01000346.1	5710	6660	8881	100.0	100.0
GCA_001649795.1	r3-T1	LUVH01000387.1	5344	6294	8861	100.0	100.0
GCA_001649815.1	r1-T18	LUUY01000673.1	1418	2629	3018	96.12	100.0
GCA_001649815.1	r3-T69	LUUY01000347.1	617	1537	4045	99.35	100.0
GCA_001649875.1	r3-T1	LUVC01000537.1	1103	2053	6888	100.0	100.0
GCA_001649895.1	r3-T1	LUVI01000100.1	830	1780	8586	100.0	100.0
GCA_001649955.1	r3-T1	LUVL01000269.1	6644	7594	8735	100.0	100.0
GCA_001649975.1	r1-T18	LUVM01000540.1	1436	2647	3018	96.12	100.0
GCA_001649975.1	r3-T14	LUVM01000687.1	1132	2055	5031	100.0	100.0
GCA_001684275.1	r3-T28	LBCP01000081.1	7183	8121	17412	100.0	100.0
GCA_001684275.1	r3-T5	LBCP01000044.1	1713	2636	35885	100.0	100.0
GCA_001684275.1	r3-T6	LBCP01000077.1	1474	2403	12533	100.0	100.0
GCA_001684275.1	r3-T7	LBCP01000063.1	4935	6107	16981	99.74	100.0
GCA_001758065.1	r3-T31	MANM01000508.1	1535	2467	3425	99.14	100.0
GCA_001758135.1	r3-T1	MANL01000556.1	5580	6530	8861	100.0	100.0
GCA_001758165.1	r3-T43	MANR01000466.1	51	980	3281	100.0	100.0
GCA_001758165.1	rP-T1	MANR01000500.1	16	1191	2977	100.0	100.0
GCA_001867335.2	r3-T3	MDLG02000212.1	2086	3207	3276	100.0	100.0
GCA_001867335.2	r3-T5	MDLG02000412.1	2245	3168	4383	100.0	100.0
GCA_001867335.2	r3-T6	MDLG02000159.1	1840	2769	3572	100.0	100.0
GCA_001891205.1	r3-T13	MPPK01000021.1	2116	3045	8978	100.0	100.0
GCA_001891205.1	r3-T3	MPPK01000010.1	49754	50875	112672	99.73	100.0
GCA_002018935.1	r3-T1	MWPK01000176.1	6593	7543	8901	100.0	100.0
GCA_002018935.1	r3-T57	MWPK01000116.1	2206	3141	5470	100.0	100.0
GCA_002018965.1	r3-T1	MWPL01000257.1	7602	8552	8901	100.0	100.0
GCA_002018965.1	r3-T57	MWPL01000144.1	2292	3227	5470	100.0	100.0
GCA_002018995.1	r3-T1	MWPM01000277.1	5842	6792	8901	100.0	100.0
GCA_002019005.1	r3-T1	MWPN01000750.1	1165	2115	3263	100.0	100.0
GCA_002019025.1	r3-T1	MWPO01000214.1	6210	7160	8901	100.0	100.0
GCA_002019035.1	r3-T1	MWPP01000311.1	6164	7114	9057	100.0	100.0
GCA_002250465.1	r3-T1	NLCO01000066.1	109	1059	8753	100.0	100.0
GCA_002727055.2	r3-T13	NXDV01000034.1	1377	2306	7308	100.0	100.0
GCA_002727055.2	r3-T3	CP027483.1	4258	5379	114918	100.0	100.0
GCA_002727055.2	r3-T34	NXDV01000033.1	3536	4459	8822	100.0	100.0
GCA_002795345.1	rP-T1	PHFG01000211.1	2667	3842	3903	95.24	100.0
GCA_002922935.1	r3-T69	PQVM01000012.1	2887	3807	3941	99.35	100.0
GCA_003130565.1	r3-T14	QFLH01000025.1	1495	2418	10066	100.0	100.0
GCA_003325575.1	r3-T1	QORF01000131.1	196	1146	8930	100.0	100.0
GCA_003325575.1	rP-T1	QORF01000049.1	1779	2954	8993	100.0	100.0
GCA_003325635.1	r3-T1	QORG01000046.1	147	1097	5619	100.0	100.0
GCA_003325665.1	r3-T1	QORH01000120.1	1215	2165	2323	100.0	100.0
GCA_003583525.1	r3-T1	QXNZ01000012.1	7764	8714	8833	100.0	100.0
GCA_003583615.1	r3-T1	QYCV01000009.1	2943	3893	8926	100.0	100.0
GCA_003583665.1	r3-T14	QXOL01000083.1	7410	8333	9905	100.0	100.0
GCA_003584375.1	rP-T1	QXOJ01000177.1	2348	3523	3753	100.0	100.0
GCA_003584385.1	r3-T1	QXOK01000018.1	7872	8741	8773	100.0	91.5
GCA_003584385.1	rP-T1	QXOK01000276.1	24426	25601	26525	100.0	100.0
GCA_003584455.1	r1-T4	QXOP01000009.1	545	1651	2074	95.4	93.7
GCA_003584455.1	r3-T1	QXOP01000006.1	7763	8713	8819	100.0	100.0
GCA_003584485.1	r3-T1	QYCW01000082.1	7474	8424	8858	100.0	100.0
GCA_003584485.1	rP-T1	QYCW01000021.1	9682	10857	67397	100.0	100.0
GCA_003584505.1	r3-T1	QYCX01000061.1	4800	5750	8858	100.0	100.0
GCA_003584535.1	r3-T1	QYCU01000079.1	234	1184	8858	100.0	100.0
GCA_003595675.1	r3-T1	QXOR01000001.1	579	1529	8733	100.0	100.0
GCA_003595675.1	rP-T1	QXOR01000132.1	1186	2361	2594	100.0	100.0
GCA_003595685.1	r3-T1	QXOS01000024.1	7498	8448	8754	100.0	100.0
GCA_003595685.1	rP-T1	QXOS01000203.1	786	1961	2313	100.0	100.0
GCA_003595745.1	r3-T1	QXOT01000024.1	7498	8448	8598	100.0	100.0
GCA_003595755.1	rP-T1	QXOU01000038.1	1	1107	1308	100.0	94.1
GCA_003595765.1	r3-T1	QXOV01000014.1	3740	4690	8818	100.0	100.0
GCA_003595805.1	r3-T1	QXOX01000014.1	29	876	8796	100.0	90.0
GCA_003595815.1	r3-T14	QXOY01000004.1	7734	8657	10233	100.0	100.0
GCA_003595835.1	r3-T1	QXPB01000003.1	7733	8683	8783	100.0	100.0
GCA_003595865.1	r3-T14	QXPC01000016.1	7712	8635	10921	100.0	100.0
GCA_003595875.1	r3-T1	QXPD01000009.1	234	1184	8730	100.0	100.0
GCA_003595875.1	rP-T1	QXPD01000414.1	740	1915	3033	100.0	100.0
GCA_003595885.1	r3-T1	QXPE01000007.1	25	932	8773	99.67	95.5
GCA_003595925.1	r3-T1	QXPF01000008.1	271	1221	8792	100.0	100.0
GCA_003595925.1	rP-T1	QXPF01000006.1	50835	52010	61387	100.0	100.0
GCA_003595985.1	r3-T1	QXPJ01000012.1	7505	8455	8831	100.0	100.0
GCA_003595985.1	rP-T1	QXPJ01000008.1	14974	16149	55465	100.0	100.0
GCA_003596025.1	r3-T1	QXPQ01000077.1	2981	3931	8858	100.0	100.0
GCA_003596065.1	r3-T1	QXPR01000106.1	5868	6818	8858	100.0	100.0
GCA_003596075.1	r3-T1	QXPT01000063.1	234	1184	8858	100.0	100.0
GCA_003596105.1	r3-T1	QXPU01000007.1	313	1263	8787	100.0	100.0
GCA_003596125.1	r3-T14	QXOW01000005.1	5981	6904	10851	100.0	100.0
GCA_003596125.1	rP-T1	QXOW01000036.1	9805	10980	47393	100.0	100.0
GCA_003596135.1	r3-T1	QXOZ01000001.1	1693	2643	4510	100.0	100.0
GCA_003596135.1	r3-T14	QXOZ01000412.1	3044	3967	6626	100.0	100.0
GCA_003596165.1	r3-T13	QXPA01000057.1	5996	6925	12910	100.0	100.0
GCA_003596165.1	rP-T1	QXPA01000014.1	2037	3212	12428	100.0	100.0
GCA_003596175.1	r3-T1	QXPI01000010.1	2252	3202	8834	100.0	100.0
GCA_003596205.1	r3-T1	QXPM01000002.1	746	1696	8802	100.0	100.0
GCA_003596205.1	rP-T1	QXPM01000136.1	27243	28418	35421	100.0	100.0
GCA_003596215.1	rP-T1	QXPN01000424.1	208	1383	3421	100.0	100.0
GCA_003596235.1	r3-T1	QXPO01000001.1	7487	8437	8835	100.0	100.0
GCA_003596235.1	rP-T1	QXPO01000021.1	14978	16153	55473	100.0	100.0
GCA_003596265.1	r3-T1	QXPP01000004.1	7550	8500	8816	100.0	100.0
GCA_003596275.1	r3-T1	QXPS01000018.1	855	1805	2480	100.0	100.0
GCA_003597385.1	r3-T1	QXPV01000005.1	328	1278	8796	100.0	100.0
GCA_003812485.1	r3-T1	CP033870.1	142	1092	6667	100.0	100.0
GCA_003812485.1	r3-T14	CP033871.1	196	1119	14807	100.0	100.0
GCA_003812485.1	r3-T22	CP033872.1	174	1088	35502	100.0	100.0
GCA_003812485.1	r3-T24	CP033871.1	7945	8880	14807	100.0	100.0
GCA_004347305.1	r3-T1	SDHE01000043.1	1413	2363	16772	100.0	100.0
GCA_004347305.1	r3-T14	SDHE01000043.1	7966	8889	16772	100.0	100.0
GCA_004347325.1	r3-T1	SDHB01000052.1	1514	2464	16873	100.0	100.0
GCA_004347325.1	r3-T14	SDHB01000052.1	8067	8990	16873	100.0	100.0
GCA_004359905.1	r3-T1	SDHD01000058.1	917	1867	16772	100.0	100.0
GCA_004359905.1	r3-T14	SDHD01000058.1	11064	11987	16772	100.0	100.0
GCA_006493735.1	r3-T1	VHGM01000075.1	3967	4917	8731	100.0	100.0
GCA_006493735.1	r3-T18	VHGM01000080.1	877	1827	5732	99.79	100.0
GCA_006493975.1	r3-T7	VHGJ01000144.1	4441	5613	5774	100.0	100.0
GCA_006494085.1	r3-T3	VHGR01000038.1	43303	44424	102861	99.2	100.0
GCA_006494085.1	r3-T5	VHGR01000044.1	1259	2182	2237	100.0	100.0
GCA_006494085.1	r3-T57	VHGR01000049.1	4070	5005	5036	100.0	100.0
GCA_006494575.1	r3-T7	VHGS01000080.1	6054	7226	7386	100.0	100.0
GCA_006494575.1	r3-T94	VHGS01000045.1	7986	8984	17471	99.3	100.0
GCA_006843645.1	r3-T3	CP032217.1	59127	60248	80061	100.0	100.0
GCA_008180145.1	r3-T1	VTBA01000052.1	1206	2156	12940	100.0	100.0
GCA_008180145.1	r3-T13	VTBA01000067.1	1621	2550	3306	100.0	100.0
GCA_008477565.1	r3-T3	PGTR01000095.1	7673	8794	11129	100.0	100.0
GCA_009754965.1	r3-T1	WPIP01000333.1	878	1828	1894	100.0	100.0
GCA_009754965.1	r3-T13	WPIP01000345.1	760	1689	1789	100.0	100.0
GCA_009754985.1	r3-T1	WPIQ01000037.1	12686	13636	13703	100.0	100.0
GCA_009754985.1	r3-T16	WPIQ01000021.1	13047	14177	55356	100.0	100.0
GCA_009754985.1	rP-T1	WPIQ01000018.1	50445	51620	68702	100.0	100.0
GCA_009828675.1	r3-T13	WUBY01000068.1	743	1672	3280	100.0	100.0
GCA_009829535.1	r3-T1	WTZO01000057.1	9774	10724	16673	100.0	100.0
GCA_009829535.1	r3-T14	WTZO01000057.1	3248	4171	16673	100.0	100.0
GCA_009829545.1	r3-T1	WTZL01000043.1	9106	10056	15829	100.0	100.0
GCA_009829555.1	r3-T1	WTZM01000056.1	6192	7142	8024	100.0	100.0
GCA_009829555.1	r3-T67	WTZM01000057.1	752	1660	7045	100.0	100.0
GCA_009898245.1	r3-T13	VHOG01000066.1	1621	2550	3306	100.0	100.0
GCA_009898245.1	r3-T14	VHOG01000053.1	2295	3218	11668	100.0	100.0
GCA_009898245.1	rP-T1	VHOG01000054.1	1796	2971	10766	100.0	100.0
GCA_012276735.1	r3-T1	JAAXKW010000034.1	7761	8711	8830	100.0	100.0
GCA_012276745.1	r3-T26	JAAXKV010000038.1	3867	4808	5463	100.0	100.0
GCA_012276745.1	rP-T1	JAAXKV010000018.1	22125	23300	63521	100.0	100.0
GCA_012277115.1	rP-T1	JAAXKU010000019.1	22133	23308	63537	100.0	100.0
GCA_012524275.1	r3-T14	JABACK010000043.1	8113	9036	10558	100.0	100.0
GCA_012781995.1	r3-T14	JAATOE010000053.1	1475	2398	10028	100.0	100.0
GCA_012955825.1	r3-T14	JABBYU010000096.1	1622	2545	14909	100.0	100.0
GCA_012955845.1	r3-T14	JABBYV010000072.1	1750	2673	14909	100.0	100.0
GCA_012956585.1	r3-T14	JABBYT010000083.1	1622	2545	14909	100.0	100.0
GCA_013138415.1	r3-T1	WJWS01000063.1	74	1024	8785	100.0	100.0
GCA_013138415.1	r3-T15	WJWS01000183.1	91	1022	1649	99.79	100.0
GCA_013138435.1	r3-T15	WJWT01000013.1	1224	2156	2275	100.0	100.0
GCA_013138435.1	r3-T8	WJWT01000031.1	11319	12203	12203	100.0	99.7
GCA_013138435.1	rP-T1	WJWT01000062.1	38297	39472	45488	100.0	100.0
GCA_013138475.1	r3-T1	WJWR01000003.1	2951	3901	8731	100.0	100.0
GCA_015536845.1	r3-T13	JABLWT010000121.1	884	1813	5251	100.0	100.0
GCA_015536845.1	r3-T14	JABLWT010000091.1	7468	8391	10055	100.0	100.0
GCA_015536845.1	r3-T3	JABLWT010000120.1	3438	4559	5539	100.0	100.0
GCA_015536855.1	r3-T13	JABLWS010000053.1	757	1686	3307	100.0	100.0
GCA_015536855.1	r3-T14	JABLWS010000046.1	9553	10476	10975	100.0	100.0
GCA_015536865.1	r3-T1	JACDYA010000035.1	233	1183	12947	100.0	100.0
GCA_015536865.1	r3-T67	JACDYA010000031.1	2322	3230	19508	100.0	100.0
GCA_015536875.1	r3-T1	JABLWU010000061.1	4524	5474	8858	100.0	100.0
GCA_015536875.1	rP-T1	JABLWU010000054.1	13689	14864	16685	100.0	100.0
GCA_015536925.1	r3-T13	JABLWP010000052.1	757	1686	3307	100.0	100.0
GCA_015536925.1	r3-T14	JABLWP010000045.1	7914	8837	10975	100.0	100.0
GCA_015536925.1	r3-T3	JABLWP010000025.1	30310	31431	64245	100.0	100.0
GCA_015536935.1	r3-T1	JABLWR010000063.1	6465	7415	8858	100.0	100.0
GCA_015536935.1	rP-T1	JABLWR010000034.1	37391	38566	40389	100.0	100.0
GCA_015536955.1	r3-T1	JACDYB010000055.1	255	1205	9097	100.0	100.0
GCA_015536965.1	r3-T13	JABLWO010000064.1	1382	2311	3059	100.0	100.0
GCA_015536965.1	r3-T16	JABLWO010000027.1	52741	53871	56918	97.79	100.0
GCA_015536965.1	rP-T1	JABLWO010000041.1	1823	2998	17646	100.0	100.0
GCA_015536975.1	r3-T1	JABLWQ010000040.1	1602	2552	8858	100.0	100.0
GCA_015537025.1	r3-T1	JACDYC010000052.1	2563	3513	8858	100.0	100.0
GCA_015537035.1	r3-T1	JABLWN010000055.1	387	1337	8858	100.0	100.0
GCA_015537045.1	r3-T14	JACDYE010000080.1	848	1771	9953	100.0	100.0
GCA_015537085.1	r3-T1	JACDYD010000056.1	3202	4152	8858	100.0	100.0
GCA_015537085.1	r3-T16	JACDYD010000028.1	33387	34517	55482	100.0	100.0
GCA_015537085.1	rP-T1	JACDYD010000046.1	1824	2999	17647	100.0	100.0
GCA_015537095.1	r3-T1	JABLWM010000051.1	222	1172	16800	100.0	100.0
GCA_015537095.1	r3-T14	JABLWM010000051.1	10369	11292	16800	100.0	100.0
GCA_015537125.1	r3-T1	JACDYF010000038.1	11619	12569	16709	100.0	100.0
GCA_015537125.1	r3-T13	JACDYF010000047.1	757	1686	3307	100.0	100.0
GCA_015537145.1	r3-T1	JACDYH010000050.1	319	1269	8858	100.0	100.0
GCA_015537155.1	r3-T1	JABLWL010000047.1	4801	5751	8858	100.0	100.0
GCA_015537155.1	rP-T1	JABLWL010000022.1	39355	40530	65485	100.0	100.0
GCA_015537165.1	r3-T14	JABLWK010000047.1	8779	9702	10975	100.0	100.0
GCA_015537165.1	r3-T23	JABLWK010000042.1	4386	5285	15806	100.0	100.0
GCA_015537165.1	r3-T3	JABLWK010000026.1	31570	32691	44738	100.0	100.0
GCA_015537165.1	r3-T55	JABLWK010000066.1	2058	2996	3192	100.0	100.0
GCA_015537175.1	r3-T1	JACDYG010000079.1	1773	2723	6718	100.0	100.0
GCA_015537175.1	r3-T14	JACDYG010000070.1	18	941	10209	100.0	100.0
GCA_015537225.1	r3-T1	JACDYI010000029.1	6845	7795	21222	100.0	100.0
GCA_015537225.1	r3-T62	JACDYI010000029.1	19591	20514	21222	99.89	100.0
GCA_015537245.1	r3-T1	JABLWI010000034.1	11083	12033	23481	100.0	100.0
GCA_015537245.1	r3-T14	JABLWI010000034.1	963	1886	23481	100.0	100.0
GCA_015537245.1	r3-T9	JABLWI010000016.1	97641	98489	108246	99.18	100.0
GCA_015537255.1	r3-T1	JABLWH010000042.1	269	1219	12947	100.0	100.0
GCA_015537255.1	r3-T13	JABLWH010000048.1	871	1800	3548	100.0	100.0
GCA_015537275.1	r3-T1	JABLWJ010000057.1	9607	10557	16916	100.0	100.0
GCA_015537275.1	r3-T14	JABLWJ010000057.1	3081	4004	16916	100.0	100.0
GCA_015537285.1	r3-T1	JABLWG010000021.1	3271	4221	8858	100.0	100.0
GCA_015537295.1	r3-T1	JABLWF010000052.1	5450	6400	8986	100.0	100.0
GCA_015537295.1	rP-T1	JABLWF010000042.1	14644	15819	17640	100.0	100.0
GCA_015537345.1	r3-T1	JACDYJ010000043.1	4256	5206	6206	100.0	100.0
GCA_015537345.1	r3-T14	JACDYJ010000041.1	963	1886	9381	100.0	100.0
GCA_015537345.1	r3-T3	JACDYJ010000027.1	7727	8848	41882	100.0	100.0
GCA_015537365.1	r3-T1	JABLWE010000062.1	3200	4150	8858	100.0	100.0
GCA_015537365.1	rP-T1	JABLWE010000051.1	13689	14864	16687	100.0	100.0
GCA_015537385.1	r3-T1	JACDYK010000043.1	3801	4751	16941	100.0	100.0
GCA_015537385.1	r3-T13	JACDYK010000051.1	1622	2551	3307	100.0	100.0
GCA_015537405.1	r3-T1	JACDYL010000051.1	4768	5718	6718	100.0	100.0
GCA_015537405.1	r3-T14	JACDYL010000047.1	873	1796	10209	100.0	100.0
GCA_015537405.1	r3-T9	JACDYL010000016.1	90747	91595	108246	99.18	100.0
GCA_015537415.1	r3-T13	JACDYM010000042.1	884	1813	3561	100.0	100.0
GCA_015537415.1	r3-T14	JACDYM010000039.1	977	1900	9420	100.0	100.0
GCA_015537465.1	r3-T1	JABLWD010000081.1	304	1254	8858	100.0	100.0
GCA_015537485.1	r3-T3	JABLWC010000015.1	60348	61469	114976	100.0	100.0
GCA_015537505.1	r3-T1	JABLWB010000041.1	7195	8145	8858	100.0	100.0
GCA_015537525.1	r3-T1	JACDYO010000043.1	11921	12871	12947	100.0	100.0
GCA_015537535.1	r3-T1	JACDYP010000054.1	1018	1968	5768	100.0	100.0
GCA_015537535.1	r3-T13	JACDYP010000047.1	11895	12824	13707	100.0	100.0
GCA_015537535.1	r3-T3	JACDYP010000039.1	6383	7504	24315	100.0	100.0
GCA_015537565.1	r3-T1	JACDYQ010000045.1	5693	6643	8858	100.0	100.0
GCA_015537575.1	r3-T1	JABLWA010000038.1	8000	8858	8858	100.0	90.3
GCA_015537575.1	r3-T3	JABLWA010000013.1	43992	45113	114478	100.0	100.0
GCA_015537605.1	r3-T1	JABLVZ010000066.1	3844	4794	9224	100.0	100.0
GCA_015537605.1	rP-T1	JABLVZ010000051.1	14649	15824	17644	100.0	100.0
GCA_015537615.1	r3-T1	JABLVY010000066.1	5969	6919	9097	100.0	100.0
GCA_015537615.1	r3-T14	JABLVY010000072.1	1795	2718	7830	100.0	100.0
GCA_015537635.1	r3-T1	JABLVX010000048.1	325	1275	8858	100.0	100.0
GCA_015537665.1	r3-T1	JABLVW010000050.1	309	1259	12969	100.0	100.0
GCA_015537665.1	r3-T13	JABLVW010000062.1	1622	2551	3307	100.0	100.0
GCA_015537665.1	rP-T1	JABLVW010000024.1	65613	66788	70667	100.0	100.0
GCA_015537675.1	r3-T1	JACDYR010000038.1	15464	16414	17781	100.0	100.0
GCA_015537675.1	r3-T33	JACDYR010000038.1	6488	7417	17781	100.0	100.0
GCA_015537705.1	r3-T1	JABLVV010000048.1	2983	3933	8858	100.0	100.0
GCA_015537705.1	rP-T1	JABLVV010000023.1	39355	40530	65485	100.0	100.0
GCA_015537725.1	r3-T1	JABLVU010000042.1	15099	16049	17406	100.0	100.0
GCA_015537725.1	r3-T13	JABLVU010000042.1	6523	7452	17406	100.0	100.0
GCA_015537725.1	r3-T3	JABLVU010000037.1	16811	17932	24319	100.0	100.0
