genoma	gen	gen_contig	gen_ini	gen_fin	contig_len	estado	reps_mismo_contig	dist_min_pb	reps_otros_contigs
GCA_003595995.1	blaOXA-23	QXPK01000304.1	234	1052	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_003596015.1	blaOXA-23	QXPL01000304.1	128	946	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_003596025.1	blaOXA-23	QXPQ01000074.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_003596065.1	blaOXA-23	QXPR01000100.1	379	1197	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_003596075.1	blaOXA-23	QXPT01000039.1	27684	28502	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_003596105.1	blaOXA-23	QXPU01000362.1	6875	7693	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_003596125.1	blaOXA-23	QXOW01000054.1	19680	20498	NA	NO_EVALUABLE	-	NA	r3-T14,rP-T1
GCA_003596135.1	blaOXA-23	QXOZ01000356.1	8147	8965	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T14
GCA_003596175.1	blaOXA-23	QXPI01000271.1	6875	7693	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_003596205.1	blaOXA-23	QXPM01000016.1	134	952	NA	NO_EVALUABLE	-	NA	r3-T1,rP-T1
GCA_003596235.1	blaOXA-23	QXPO01000153.1	132	950	NA	NO_EVALUABLE	-	NA	r3-T1,rP-T1
GCA_003596265.1	blaOXA-23	QXPP01000238.1	238	1056	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_003596275.1	blaOXA-23	QXPS01000442.1	122	940	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_003597385.1	blaOXA-23	QXPV01000234.1	130	948	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_003812485.1	blaOXA-23	CP033869.1	1785241	1786059	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T14,r3-T22,r3-T24
GCA_004282835.1	blaOXA-72	RJLV01000008.1	14504	15328	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_004282845.1	blaOXA-72	RJLW01000042.1	2710	3534	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_004347305.1	blaOXA-23	SDHE01000016.1	127	945	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T14
GCA_004359905.1	blaOXA-72	SDHD01000058.1	2784	3608	16772	COLOCALIZADO	r3-T1,r3-T14	917	r3-T1,r3-T14
GCA_006493975.1	blaIMP-16	VHGJ01000157.1	132	869	NA	NO_EVALUABLE	-	NA	r3-T7
GCA_006843645.1	blaOXA-23	CP032215.1	2080824	2081642	NA	NO_EVALUABLE	-	NA	r3-T3
GCA_008180145.1	blaOXA-23	VTBA01000016.1	125	943	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T13
GCA_009754965.1	blaOXA-23	WPIP01000372.1	769	1587	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T13
GCA_009828675.1	blaOXA-23	WUBY01000060.1	29	847	NA	NO_EVALUABLE	-	NA	r3-T13
GCA_009829525.1	blaOXA-23	WTZN01000035.1	28	846	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_009829535.1	blaOXA-72	WTZO01000057.1	11641	12465	16673	COLOCALIZADO	r3-T1,r3-T14	917	r3-T1,r3-T14
GCA_009829545.1	blaOXA-23	WTZL01000039.1	22671	23489	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_009829545.1	blaOXA-72	WTZL01000043.1	10973	11797	15829	COLOCALIZADO	r3-T1	917	r3-T1
GCA_009829555.1	blaOXA-23	WTZM01000039.1	33623	34441	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T67
GCA_009829595.1	blaOXA-23	WTZK01000005.1	63904	64722	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_009898245.1	blaOXA-23	VHOG01000020.1	127	945	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T14,rP-T1
GCA_012276735.1	blaOXA-23	JAAXKW010000011.1	127	945	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_012276745.1	blaOXA-23	JAAXKV010000050.1	126	944	NA	NO_EVALUABLE	-	NA	r3-T26,rP-T1
GCA_012277115.1	blaOXA-23	JAAXKU010000048.1	787	1605	NA	NO_EVALUABLE	-	NA	rP-T1
GCA_012524275.1	blaOXA-23	JABACK010000032.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_012781995.1	blaOXA-23	JAATOE010000071.1	768	1586	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_012955825.1	blaOXA-23	JABBYU010000002.1	102695	103513	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_012955845.1	blaOXA-23	JABBYV010000005.1	102695	103513	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_012956585.1	blaOXA-23	JABBYT010000070.1	16121	16939	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_013138415.1	blaOXA-23	WJWS01000077.1	22572	23390	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T15
GCA_013138435.1	blaOXA-23	WJWT01000088.1	48	866	NA	NO_EVALUABLE	-	NA	r3-T15,r3-T8,rP-T1
GCA_013138475.1	blaOXA-23	WJWR01000011.1	48	866	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015536845.1	blaOXA-23	JABLWT010000077.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T14,r3-T3
GCA_015536855.1	blaOXA-23	JABLWS010000012.1	87415	88233	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T14
GCA_015536865.1	blaOXA-23	JACDYA010000021.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T67
GCA_015536875.1	blaOXA-23	JABLWU010000017.1	81384	82202	NA	NO_EVALUABLE	-	NA	r3-T1,rP-T1
GCA_015536925.1	blaOXA-23	JABLWP010000020.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T14,r3-T3
GCA_015536935.1	blaOXA-23	JABLWR010000044.1	154	972	NA	NO_EVALUABLE	-	NA	r3-T1,rP-T1
GCA_015536955.1	blaOXA-72	JACDYB010000055.1	7484	8308	9097	COLOCALIZADO	r3-T1	6279	r3-T1
GCA_015536965.1	blaOXA-72	JABLWO010000077.1	95	919	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T16,rP-T1
GCA_015537035.1	blaOXA-23	JABLWN010000017.1	379	1197	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015537045.1	blaOXA-23	JACDYE010000041.1	28382	29200	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_015537085.1	blaOXA-23	JACDYD010000020.1	80135	80953	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T16,rP-T1
GCA_015537095.1	blaOXA-72	JABLWM010000051.1	2089	2913	16800	COLOCALIZADO	r3-T1,r3-T14	917	r3-T1,r3-T14
GCA_015537125.1	blaOXA-23	JACDYF010000013.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T13
GCA_015537145.1	blaOXA-23	JACDYH010000016.1	92230	93048	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015537155.1	blaOXA-23	JABLWL010000034.1	154	972	NA	NO_EVALUABLE	-	NA	r3-T1,rP-T1
GCA_015537165.1	blaOXA-23	JABLWK010000005.1	227444	228262	NA	NO_EVALUABLE	-	NA	r3-T14,r3-T23,r3-T3,r3-T55
GCA_015537175.1	blaOXA-72	JACDYG010000070.1	8397	9221	10209	COLOCALIZADO	r3-T14	7456	r3-T1,r3-T14
GCA_015537225.1	blaOXA-23	JACDYI010000008.1	216287	217105	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T62
GCA_015537245.1	blaOXA-23	JABLWI010000019.1	80135	80953	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T14,r3-T9
GCA_015537245.1	blaOXA-72	JABLWI010000034.1	9342	10166	23481	COLOCALIZADO	r3-T1,r3-T14	917	r3-T1,r3-T14,r3-T9
GCA_015537255.1	blaOXA-23	JABLWH010000011.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T13
GCA_015537275.1	blaOXA-72	JABLWJ010000057.1	11474	12298	16916	COLOCALIZADO	r3-T1,r3-T14	917	r3-T1,r3-T14
GCA_015537285.1	blaOXA-23	JABLWG010000003.1	423079	423897	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015537295.1	blaOXA-23	JABLWF010000029.1	154	972	NA	NO_EVALUABLE	-	NA	r3-T1,rP-T1
GCA_015537365.1	blaOXA-23	JABLWE010000017.1	81384	82202	NA	NO_EVALUABLE	-	NA	r3-T1,rP-T1
GCA_015537385.1	blaOXA-23	JACDYK010000014.1	154	972	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T13
GCA_015537405.1	blaOXA-23	JACDYL010000021.1	80135	80953	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T14,r3-T9
GCA_015537405.1	blaOXA-72	JACDYL010000047.1	9252	10076	10209	COLOCALIZADO	r3-T14	7456	r3-T1,r3-T14,r3-T9
GCA_015537415.1	blaOXA-23	JACDYM010000005.1	199	1017	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T14
GCA_015537445.1	blaOXA-23	JACDYN010000013.1	155	973	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_015537465.1	blaOXA-23	JABLWD010000057.1	126	944	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015537505.1	blaOXA-23	JABLWB010000001.1	246049	246867	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015537525.1	blaOXA-23	JACDYO010000019.1	80133	80951	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015537535.1	blaOXA-23	JACDYP010000009.1	137800	138618	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T13,r3-T3
GCA_015537565.1	blaOXA-23	JACDYQ010000020.1	379	1197	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015537575.1	blaOXA-23	JABLWA010000018.1	90074	90892	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T3
GCA_015537605.1	blaOXA-72	JABLVZ010000066.1	2103	2927	9224	COLOCALIZADO	r3-T1	917	r3-T1,rP-T1
GCA_015537615.1	blaOXA-72	JABLVY010000066.1	7836	8660	9097	COLOCALIZADO	r3-T1	917	r3-T1,r3-T14
GCA_015537635.1	blaOXA-23	JABLVX010000036.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015537665.1	blaOXA-23	JABLVW010000018.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T13,rP-T1
GCA_015537675.1	blaOXA-23	JACDYR010000016.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T33
GCA_015537705.1	blaOXA-23	JABLVV010000004.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T1,rP-T1
GCA_015537725.1	blaOXA-23	JABLVU010000009.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T13,r3-T3
GCA_015537745.1	blaOXA-23	JACDYS010000015.1	154	972	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T13,r3-T3
GCA_015537755.1	blaOXA-23	JABLVT010000001.1	472038	472856	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015537765.1	blaOXA-23	JABLVR010000017.1	154	972	NA	NO_EVALUABLE	-	NA	r3-T13
GCA_015537775.1	blaOXA-23	JABLVS010000020.1	84346	85164	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T14,r3-T3
GCA_015537825.1	blaOXA-23	JABLVQ010000077.1	55	873	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015537845.1	blaOXA-23	JACDYT010000016.1	153	971	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T13,rP-T1
GCA_015537855.1	blaOXA-23	JACDYU010000013.1	85912	86730	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T13,r3-T3
GCA_015537865.1	blaOXA-23	JABLVP010000017.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015537905.1	blaOXA-23	JACDYV010000016.1	90074	90892	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015537915.1	blaOXA-23	JABLVO010000003.1	246048	246866	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015537945.1	blaOXA-23	JABLVN010000003.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015537965.1	blaOXA-23	JACDYW010000002.1	289237	290055	NA	NO_EVALUABLE	-	NA	r3-T1,rP-T1
GCA_015537975.1	blaOXA-23	JABLVM010000016.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015537995.1	blaOXA-23	JACDYX010000020.1	73885	74703	NA	NO_EVALUABLE	-	NA	r3-T1,rP-T1
GCA_015538045.1	blaOXA-23	JACDYZ010000020.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T14,rP-T1
GCA_015538055.1	blaOXA-23	JACDYY010000015.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015538085.1	blaOXA-23	JABLVK010000013.1	154	972	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T13,r3-T3
GCA_015538105.1	blaOXA-72	JABLVJ010000043.1	10366	11190	16800	COLOCALIZADO	r3-T1,r3-T14	917	r3-T1,r3-T14
GCA_015538125.1	blaOXA-23	JACDZA010000007.1	155	973	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_015538135.1	blaOXA-23	JABLVI010000021.1	73655	74473	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T14,r3-T3
GCA_015538155.1	blaOXA-23	JACDZB010000020.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T13,rP-T1
GCA_015538165.1	blaOXA-72	JABLVH010000047.1	5161	5985	16800	COLOCALIZADO	r3-T1,r3-T14	917	r3-T1,r3-T14
GCA_015538205.1	blaOXA-23	JACDZC010000020.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T14,r3-T9
GCA_015538225.1	blaOXA-23	JABLVG010000015.1	85912	86730	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T13
GCA_015538235.1	blaOXA-23	JACDZD010000015.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015538255.1	blaOXA-23	JABLVE010000021.1	73885	74703	NA	NO_EVALUABLE	-	NA	r3-T1,rP-T1
GCA_015538275.1	blaOXA-23	JABLVF010000004.1	337045	337863	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015538305.1	blaOXA-23	JABLVD010000018.1	80135	80953	NA	NO_EVALUABLE	-	NA	r3-T1,rP-T1
GCA_015538325.1	blaOXA-72	JABLVB010000050.1	3683	4507	16800	COLOCALIZADO	r3-T1,r3-T14	879	r3-T1,r3-T14
GCA_015538335.1	blaOXA-23	JABLVC010000015.1	90074	90892	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015538345.1	blaOXA-23	JABLVA010000015.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_015538355.1	blaOXA-23	JABLUZ010000016.1	90074	90892	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015666275.1	blaOXA-23	JADPHH010000132.1	6977	7795	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015666365.1	blaOXA-72	JADPHK010000074.1	9571	10395	16673	COLOCALIZADO	r3-T1,r3-T14	879	r3-T1,r3-T14
GCA_015666475.1	blaOXA-23	JADPHP010000136.1	28	846	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_015666515.1	blaOXA-23	JADPHT010000027.1	42716	43534	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016054925.1	blaGES-11	JAECSJ010000067.1	10537	11397	NA	NO_EVALUABLE	-	NA	r3-T137,r3-T24,r3-T6
GCA_016054975.1	blaOXA-72	JAECSL010000069.1	4637	5461	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_016055015.1	blaOXA-23	JAECSO010000040.1	32377	33195	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016055335.1	blaOXA-23	JAECSV010000121.1	98	916	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016055475.1	blaOXA-23	JAECTD010000039.1	154	972	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016055595.1	blaOXA-23	JAECTH010000086.1	7297	8115	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T12,r3-T18,r3-T2
GCA_016055715.1	blaOXA-23	JAECTM010000102.1	6573	7391	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016055835.1	blaOXA-23	JAECTU010000038.1	154	972	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T3
GCA_016055945.1	blaOXA-23	JAECTZ010000002.1	155	973	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016055945.1	blaKPC	JAECTZ010000243.1	54	527	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_016056005.1	blaOXA-23	JAECUB010000057.1	22610	23428	NA	NO_EVALUABLE	-	NA	r3-T14
