ID	pais	anio	ST	KL	bioproject	portador_oxa72
GCA_003325575.1	Brasil	2014	ST1	KL1	PRJNA431093	no
GCA_003325635.1	Brasil	2013	ST-	KL1	PRJNA431093	no
GCA_003325665.1	Brasil	2010	ST1	KL1	PRJNA431093	no
GCA_003583525.1	Bolivia	2016	ST991	KL9	PRJNA489088	no
GCA_003583535.1	Bolivia	2016	ST25	KL22	PRJNA489088	no
GCA_003583565.1	Bolivia	2016	ST25	KL22	PRJNA489088	no
GCA_003583575.1	Bolivia	2016	ST25	KL22	PRJNA489088	no
GCA_003583605.1	Bolivia	2016	ST25	KL22	PRJNA489088	no
GCA_003583615.1	Bolivia	2016	ST991	KL9	PRJNA489088	no
GCA_003583625.1	Bolivia	2016	ST25	KL22	PRJNA489088	no
GCA_003583665.1	Bolivia	2016	ST15	KL9	PRJNA489088	no
GCA_003584255.1	Bolivia	2016	ST25	KL22	PRJNA489088	no
GCA_003584275.1	Bolivia	2016	ST25	KL22	PRJNA489088	no
GCA_003584305.1	Bolivia	2016	ST25	KL22	PRJNA489088	no
GCA_003584315.1	Bolivia	2016	ST25	KL22	PRJNA489088	no
GCA_003584325.1	Bolivia	2016	ST25	KL22	PRJNA489088	no
GCA_003584365.1	Bolivia	2016	ST25	KL22	PRJNA489088	no
GCA_003584375.1	Bolivia	2016	ST25	KL49	PRJNA489088	no
GCA_003584385.1	Bolivia	2016	ST25	KL33	PRJNA489088	no
GCA_003584425.1	Bolivia	2016	ST25	KL22	PRJNA489088	no
GCA_003584445.1	Bolivia	2016	ST25	KL22	PRJNA489088	no
GCA_003584455.1	Bolivia	2016	ST25	KL49	PRJNA489088	no
GCA_003584485.1	Bolivia	2016	ST25	KL33	PRJNA489088	no
GCA_003584505.1	Bolivia	2016	ST991	KL9	PRJNA489088	no
GCA_003584515.1	Bolivia	2016	ST25	KL22	PRJNA489088	no
GCA_003584535.1	Bolivia	2016	ST991	KL9	PRJNA489088	no
GCA_003595665.1	Bolivia	2016	ST25	KL33	PRJNA489088	no
GCA_003595675.1	Bolivia	2016	ST25	KL33	PRJNA489088	no
GCA_003595685.1	Bolivia	2016	ST25	KL33	PRJNA489088	no
GCA_003595745.1	Bolivia	2016	ST991	KL9	PRJNA489088	no
GCA_003595755.1	Bolivia	2016	ST991	KL9	PRJNA489088	no
GCA_003595765.1	Bolivia	2016	ST25	KL33	PRJNA489088	no
GCA_003595805.1	Bolivia	2016	ST991	KL9	PRJNA489088	no
GCA_003595815.1	Bolivia	2016	ST25	KL37	PRJNA489088	no
GCA_003595835.1	Bolivia	2016	ST991	KL9	PRJNA489088	no
GCA_003595865.1	Bolivia	2016	ST25	KL37	PRJNA489088	no
GCA_003595875.1	Bolivia	2016	ST79	KL9	PRJNA489088	no
GCA_003595885.1	Bolivia	2016	ST991	KL9	PRJNA489088	no
GCA_003595925.1	Bolivia	2016	ST25	KL33	PRJNA489088	no
GCA_003595935.1	Bolivia	2016	ST25	KL22	PRJNA489088	no
GCA_003595955.1	Bolivia	2016	ST25	KL22	PRJNA489088	no
GCA_003595985.1	Bolivia	2016	ST79	KL22	PRJNA489088	no
GCA_003595995.1	Bolivia	2016	ST991	KL9	PRJNA489088	no
GCA_003596015.1	Bolivia	2016	ST991	KL9	PRJNA489088	no
GCA_003596025.1	Bolivia	2015	ST991	KL9	PRJNA489088	no
GCA_003596065.1	Bolivia	2015	ST991	KL9	PRJNA489088	no
GCA_003596075.1	Bolivia	2015	ST991	KL9	PRJNA489088	no
GCA_003596105.1	Bolivia	2015	ST991	KL9	PRJNA489088	no
GCA_003596125.1	Bolivia	2016	ST25	KL127	PRJNA489088	no
GCA_003596135.1	Bolivia	2016	ST25	KL33	PRJNA489088	no
GCA_003596165.1	Bolivia	2016	ST267	KL9	PRJNA489088	no
GCA_003596175.1	Bolivia	2016	ST25	KL49	PRJNA489088	no
GCA_003596205.1	Bolivia	2016	ST25	KL33	PRJNA489088	no
GCA_003596215.1	Bolivia	2016	ST79	KL9	PRJNA489088	no
GCA_003596235.1	Bolivia	2016	ST25	KL33	PRJNA489088	no
GCA_003596265.1	Bolivia	2016	ST991	KL9	PRJNA489088	no
GCA_003596275.1	Bolivia	2015	ST991	KL9	PRJNA489088	no
GCA_003597385.1	Bolivia	2015	ST991	KL9	PRJNA489088	no
GCA_003697885.1	Brasil	2013	ST108	KL155	PRJNA497216	no
GCA_003812485.1	Brasil	2008	ST79	KL49	PRJNA505170	no
GCA_004282835.1	Brasil	2016	ST78	KL3	PRJNA497429	si
GCA_004282845.1	Brasil	2016	ST78	KL3	PRJNA497429	si
GCA_004347305.1	Brasil	2017	ST1	KL18	PRJNA516770	si
GCA_004347325.1	Brasil	2017	ST79	KL49	PRJNA516770	si
GCA_004359905.1	Brasil	2017	ST79	KL210	PRJNA516770	si
GCA_006493735.1	Peru	2013	ST79	KL4	PRJNA545079	no
GCA_006493975.1	Peru	2013	ST193	KL52	PRJNA545079	no
GCA_006494085.1	Peru	2012	ST1126	KL3	PRJNA545079	no
GCA_006494575.1	Peru	2012	ST106	KL157	PRJNA545079	no
GCA_006843645.1	Argentina	2016	ST25	KL149	PRJNA487603	no
GCA_008180145.1	Brasil	2016	ST730	KL22	PRJNA516770	no
GCA_008477565.1	Argentina	1997	ST15	KL77	PRJNA398382	no
GCA_009754965.1	Brasil	2011	ST1	KL149	PRJNA592452	no
GCA_009754985.1	Brasil	1996	ST374	KL9	PRJNA592456	no
GCA_009828675.1	Brasil	2016	ST162	KL19	PRJNA596391	no
GCA_009829525.1	Brasil	2016	ST79	KL9	PRJNA596391	no
GCA_009829535.1	Brasil	2016	ST79	KL210	PRJNA596391	si
GCA_009829545.1	Brasil	2016	ST1	KL18	PRJNA596391	si
GCA_009829555.1	Brasil	2016	ST1448	KL14	PRJNA596391	no
GCA_009829595.1	Brasil	2016	ST25	KL139	PRJNA596391	no
GCA_009829755.1	Argentina	1999	ST15	KL81	PRJNA398382	no
GCA_009898245.1	Brasil	2016	ST15	KL81	PRJNA550404	no
GCA_012276735.1	Brasil	2017	ST1	KL17	PRJNA497429	no
GCA_012276745.1	Brasil	2017	ST79	KL9	PRJNA497429	no
GCA_012277115.1	Brasil	2016	ST79	KL9	PRJNA497429	no
GCA_012515875.1	Brasil	2016	ST-	KL51	PRJNA609712	no
GCA_012524085.1	Argentina	2011	ST172	KL51	PRJNA624091	no
GCA_012524275.1	Argentina	2011	ST25	KL149	PRJNA624111	no
GCA_012781995.1	Brasil	2017	ST15	KL77	PRJNA613847	no
GCA_012955825.1	Brasil	2018	ST15	KL81	PRJNA301792	no
GCA_012955845.1	Brasil	2018	ST15	KL81	PRJNA301792	no
GCA_012956585.1	Brasil	2018	ST15	KL81	PRJNA301792	no
GCA_013138415.1	Brasil	2016	ST1	KL18	PRJNA580471	no
GCA_013138435.1	Brasil	2016	ST1	KL18	PRJNA580473	no
GCA_013138475.1	Brasil	2016	ST1	KL18	PRJNA580395	no
GCA_013184005.1	Argentina	1995	ST172	KL51	PRJNA541269	no
GCA_015536845.1	Brasil	2016	ST15	KL81	PRJNA613847	no
GCA_015536855.1	Brasil	2016	ST15	KL81	PRJNA613847	no
GCA_015536865.1	Brasil	2016	ST1448	KL14	PRJNA613847	no
GCA_015536875.1	Brasil	2017	ST79	KL9	PRJNA613847	no
GCA_015536925.1	Brasil	2012	ST15	KL3	PRJNA613847	no
GCA_015536935.1	Brasil	2016	ST79	KL9	PRJNA613847	no
GCA_015536955.1	Brasil	2016	ST79	KL210	PRJNA613847	si
GCA_015536965.1	Brasil	2017	ST730	KL22	PRJNA613847	si
GCA_015537035.1	Brasil	2016	ST25	KL139	PRJNA613847	no
GCA_015537045.1	Brasil	2016	ST15	KL9	PRJNA613847	no
GCA_015537085.1	Brasil	2018	ST25	KL139	PRJNA613847	no
GCA_015537095.1	Brasil	2016	ST79	KL49	PRJNA613847	si
GCA_015537125.1	Brasil	2016	ST15	KL22	PRJNA613847	no
GCA_015537145.1	Brasil	2016	ST25	KL139	PRJNA613847	no
GCA_015537155.1	Brasil	2016	ST79	KL9	PRJNA613847	no
GCA_015537165.1	Brasil	2010	ST-	KL9	PRJNA613847	no
GCA_015537175.1	Brasil	2017	ST79	KL49	PRJNA613847	si
GCA_015537225.1	Brasil	2016	ST1	KL18	PRJNA613847	no
GCA_015537245.1	Brasil	2016	ST25	KL139	PRJNA613847	si
GCA_015537255.1	Brasil	2013	ST15	KL22	PRJNA613847	no
GCA_015537275.1	Brasil	2016	ST79	KL49	PRJNA613847	si
GCA_015537285.1	Brasil	2017	ST1	KL1	PRJNA613847	no
GCA_015537295.1	Brasil	2016	ST79	KL9	PRJNA613847	no
GCA_015537345.1	Brasil	2016	ST15	KL22	PRJNA613847	no
GCA_015537365.1	Brasil	2016	ST79	KL9	PRJNA613847	si
GCA_015537385.1	Brasil	2016	ST1447	KL22	PRJNA613847	no
GCA_015537405.1	Brasil	2016	ST25	KL139	PRJNA613847	si
GCA_015537415.1	Brasil	2012	ST15	KL9	PRJNA613847	no
GCA_015537445.1	Brasil	2016	ST1	KL1	PRJNA613847	no
GCA_015537465.1	Brasil	2016	ST79	KL49	PRJNA613847	no
GCA_015537485.1	Brasil	2016	ST49	KL11	PRJNA613847	no
GCA_015537505.1	Brasil	2016	ST1	KL18	PRJNA613847	no
GCA_015537525.1	Brasil	2016	ST25	KL139	PRJNA613847	no
GCA_015537535.1	Brasil	2016	ST15	KL22	PRJNA613847	no
GCA_015537565.1	Brasil	2013	ST25	KL139	PRJNA613847	no
GCA_015537575.1	Brasil	2017	ST1	KL18	PRJNA613847	no
GCA_015537605.1	Brasil	2016	ST79	KL81	PRJNA613847	si
GCA_015537615.1	Brasil	2016	ST79	KL49	PRJNA613847	si
GCA_015537635.1	Brasil	2016	ST79	KL167	PRJNA613847	no
GCA_015537665.1	Brasil	2016	ST730	KL22	PRJNA613847	no
GCA_015537675.1	Brasil	2016	ST1	KL18	PRJNA613847	no
GCA_015537705.1	Brasil	2016	ST79	KL9	PRJNA613847	no
GCA_015537725.1	Brasil	2016	ST15	KL22	PRJNA613847	no
GCA_015537745.1	Brasil	2016	ST15	KL22	PRJNA613847	no
GCA_015537755.1	Brasil	2016	ST1	KL18	PRJNA613847	no
GCA_015537765.1	Brasil	2016	ST163	KL19	PRJNA613847	no
GCA_015537775.1	Brasil	2016	ST15	KL3	PRJNA613847	no
GCA_015537825.1	Brasil	2017	ST25	KL22	PRJNA613847	no
GCA_015537845.1	Brasil	2016	ST730	KL22	PRJNA613847	no
GCA_015537855.1	Brasil	2016	ST15	KL22	PRJNA613847	no
GCA_015537865.1	Brasil	2016	ST1	KL18	PRJNA613847	no
GCA_015537905.1	Brasil	2016	ST1	KL18	PRJNA613847	no
GCA_015537915.1	Brasil	2016	ST1	KL18	PRJNA613847	no
GCA_015537945.1	Brasil	2016	ST1	KL18	PRJNA613847	no
GCA_015537965.1	Brasil	2013	ST1	KL18	PRJNA613847	no
GCA_015537975.1	Brasil	2017	ST1	KL18	PRJNA613847	no
GCA_015537995.1	Brasil	2016	ST79	KL9	PRJNA613847	no
GCA_015538025.1	Brasil	2016	ST25	KL200	PRJNA613847	no
GCA_015538045.1	Brasil	2016	ST15	KL81	PRJNA613847	no
GCA_015538055.1	Brasil	2016	ST1	KL18	PRJNA613847	no
GCA_015538085.1	Brasil	2016	ST15	KL22	PRJNA613847	no
GCA_015538105.1	Brasil	2016	ST79	KL49	PRJNA613847	si
GCA_015538125.1	Brasil	2008	ST20	KL1	PRJNA613847	no
GCA_015538135.1	Brasil	2016	ST15	KL9	PRJNA613847	no
GCA_015538155.1	Brasil	2016	ST151	KL199	PRJNA613847	no
GCA_015538165.1	Brasil	2016	ST79	KL49	PRJNA613847	si
GCA_015538205.1	Brasil	2016	ST25	KL139	PRJNA613847	si
GCA_015538225.1	Brasil	2016	ST15	KL22	PRJNA613847	no
GCA_015538235.1	Brasil	2017	ST1	KL1	PRJNA613847	no
GCA_015538255.1	Brasil	2016	ST79	KL9	PRJNA613847	no
GCA_015538275.1	Brasil	2017	ST1	KL1	PRJNA613847	no
GCA_015538305.1	Brasil	2016	ST25	KL139	PRJNA613847	no
GCA_015538325.1	Brasil	2016	ST79	KL49	PRJNA613847	si
GCA_015538335.1	Brasil	2016	ST1	KL18	PRJNA613847	no
GCA_015538345.1	Brasil	2016	ST15	KL81	PRJNA613847	no
GCA_015538355.1	Brasil	2016	ST1	KL18	PRJNA613847	no
GCA_015666275.1	Brasil	2020	ST79	KL81	PRJNA677881	no
GCA_015666285.1	Brasil	2020	ST-	KL81	PRJNA677881	no
GCA_015666365.1	Brasil	2020	ST79	KL22	PRJNA677881	si
GCA_015666475.1	Brasil	2020	ST79	KL9	PRJNA677881	no
GCA_015666515.1	Brasil	2020	ST1	KL1	PRJNA677881	no
GCA_015666535.1	Brasil	2020	ST25	KL14	PRJNA677881	no
GCA_016054925.1	Brasil	2020	ST848	KL134	PRJNA677881	no
GCA_016054975.1	Brasil	2020	ST78	KL3	PRJNA677881	si
GCA_016055015.1	Brasil	2020	ST79	KL22	PRJNA677881	no
GCA_016055335.1	Brasil	2020	ST79	KL9	PRJNA677881	no
GCA_016055475.1	Brasil	2020	ST79	KL22	PRJNA677881	no
GCA_016055485.1	Brasil	2018	ST79	KL9	PRJNA677881	no
GCA_016055595.1	Brasil	2019	ST79	KL9	PRJNA677881	no
GCA_016055685.1	Brasil	2019	ST79	KL9	PRJNA677881	no
GCA_016055715.1	Brasil	2019	ST1	KL18	PRJNA677881	no
GCA_016055835.1	Brasil	2019	ST79	KL27	PRJNA677881	no
GCA_016055945.1	Brasil	2019	ST1	KL18	PRJNA677881	no
GCA_016056005.1	Brasil	2019	ST1	KL18	PRJNA677881	no
GCA_016056045.1	Brasil	2019	ST79	KL9	PRJNA677881	no
GCA_016056095.1	Brasil	2019	ST25	KL139	PRJNA677881	si
GCA_016056125.1	Brasil	2019	ST1	KL1	PRJNA677881	no
GCA_016056145.1	Brasil	2019	ST79	KL49	PRJNA677881	no
GCA_016416045.1	Brasil	2020	ST1	KL17	PRJNA677881	no
GCA_016484945.1	Brasil	2015	ST79	KL49	PRJNA632943	si
GCA_016484955.1	Brasil	2015	ST79	KL49	PRJNA632943	si
GCA_016484985.1	Brasil	2015	ST79	KL3	PRJNA632943	no
GCA_016485005.1	Brasil	2015	ST25	KL22	PRJNA632943	si
GCA_016485025.1	Brasil	2015	ST79	KL9	PRJNA632943	si
GCA_016485045.1	Brasil	2014	ST79	KL3	PRJNA632943	no
GCA_016485085.1	Brasil	2017	ST25	KL139	PRJNA632943	no
GCA_016485105.1	Brasil	2017	ST15	KL81	PRJNA632943	no
GCA_016485125.1	Brasil	2017	ST79	KL49	PRJNA632943	si
GCA_016485145.1	Brasil	2017	ST730	KL22	PRJNA632943	si
GCA_016485165.1	Brasil	2017	ST25	KL22	PRJNA632943	si
GCA_016485185.1	Brasil	2017	ST79	KL49	PRJNA632943	si
GCA_016485205.1	Brasil	2017	ST79	KL9	PRJNA632943	no
GCA_016485225.1	Brasil	2014	ST79	KL3	PRJNA632943	no
GCA_016485245.1	Brasil	2017	ST15	KL81	PRJNA632943	no
GCA_016485265.1	Brasil	2012	ST1	KL1	PRJNA632943	no
GCA_016485285.1	Brasil	2012	ST79	KL9	PRJNA632943	no
GCA_016485305.1	Brasil	2017	ST79	KL9	PRJNA632943	no
GCA_016485325.1	Brasil	2017	ST15	KL81	PRJNA632943	no
GCA_016485345.1	Brasil	2014	ST79	KL3	PRJNA632943	no
GCA_016485365.1	Brasil	2014	ST79	KL3	PRJNA632943	no
GCA_016485725.1	Venezuela	2014	ST25	KL33	PRJNA627433	no
GCA_016485745.1	Chile	2014	ST15	KL9	PRJNA627433	no
GCA_016485965.1	Venezuela	2014	ST25	KL33	PRJNA627433	no
GCA_016487265.1	Venezuela	2014	ST412	KL77	PRJNA627433	no
GCA_016487725.1	Chile	2014	ST318	KL22	PRJNA627433	no
GCA_016609805.1	Chile	2014	ST1	KL1	PRJNA627433	no
GCA_016609885.1	Venezuela	2014	ST25	KL33	PRJNA627433	no
GCA_017909475.1	Brasil	2015	ST1	KL1	PRJNA544939	no
GCA_017909485.1	Brasil	2011	ST1083	KL3	PRJNA545307	no
GCA_017909495.1	Brasil	2011	ST1083	KL3	PRJNA545308	no
GCA_017960395.1	Brasil	2015	ST1	KL1	PRJNA544941	no
GCA_018156045.1	Chile	2017	ST318	KL22	PRJNA723341	no
GCA_018156055.1	Chile	2008	ST109	KL49	PRJNA723341	no
GCA_018156065.1	Chile	2019	ST876	KL65	PRJNA723341	no
GCA_018156145.1	Chile	2019	ST15	KL22	PRJNA723341	no
GCA_018156665.1	Brasil	2016	ST1	KL18	PRJNA428488	no
GCA_018156705.1	Brasil	2016	ST1	KL18	PRJNA428488	no
GCA_018156725.1	Brasil	2016	ST1	KL18	PRJNA428488	no
GCA_018156745.1	Brasil	2016	ST79	KL49	PRJNA428488	si
GCA_020657695.1	Brasil	2014	ST79	KL33	PRJNA772654	no
GCA_021402995.1	Brasil	2020	ST2	KL7	PRJNA613847	no
GCA_023060185.1	Brasil	2020	ST15	KL9	PRJNA677881	no
GCA_023060375.1	Brasil	2019	ST78	KL3	PRJNA677881	si
GCA_023060655.1	Brasil	2019	ST78	KL3	PRJNA677881	si
GCA_023061035.1	Brasil	2020	ST79	KL33	PRJNA677881	si
GCA_023572255.1	Brasil	2020	ST584	KL24	PRJNA677881	no
GCA_023572275.1	Brasil	2020	ST15	KL81	PRJNA677881	no
GCA_023572305.1	Brasil	2020	ST25	KL22	PRJNA677881	no
GCA_023572445.1	Brasil	2020	ST79	KL22	PRJNA677881	no
GCA_023572625.1	Brasil	2019	ST160	KL1	PRJNA677881	no
GCA_024138435.1	Chile	2011	ST162	KL19	PRJNA731249	no
GCA_024139015.1	Chile	2010	ST109	KL9	PRJNA731249	no
GCA_024139035.1	Chile	2011	ST79	KL9	PRJNA731249	no
GCA_024139055.1	Chile	2010	ST318	KL22	PRJNA731249	no
GCA_024139075.1	Chile	2011	ST15	KL22	PRJNA731249	no
GCA_024139095.1	Chile	2011	ST1	KL1	PRJNA731249	no
GCA_024151465.1	Chile	2013	ST241	KL11	PRJNA731249	no
GCA_024151485.1	Chile	2010	ST162	KL19	PRJNA731249	no
GCA_024151505.1	Chile	2010	ST162	KL19	PRJNA731249	no
GCA_024151525.1	Chile	2010	ST162	KL19	PRJNA731249	no
GCA_024151535.1	Chile	2010	ST162	KL19	PRJNA731249	no
GCA_024151565.1	Chile	2012	ST109	KL9	PRJNA731249	no
GCA_024151585.1	Chile	2012	ST109	KL9	PRJNA731249	no
GCA_024151605.1	Chile	2012	ST109	KL9	PRJNA731249	no
GCA_024151615.1	Chile	2012	ST109	KL9	PRJNA731249	no
GCA_024151645.1	Chile	2012	ST109	KL9	PRJNA731249	no
GCA_024151665.1	Chile	2011	ST109	KL9	PRJNA731249	no
GCA_024151685.1	Chile	2010	ST109	KL9	PRJNA731249	no
GCA_024151695.1	Chile	2011	ST109	KL9	PRJNA731249	no
GCA_024151725.1	Chile	2012	ST79	KL9	PRJNA731249	no
GCA_024151745.1	Chile	2012	ST79	KL9	PRJNA731249	no
GCA_024151765.1	Chile	2011	ST318	KL22	PRJNA731249	no
GCA_024151775.1	Chile	2012	ST79	KL9	PRJNA731249	no
GCA_024151795.1	Chile	2012	ST79	KL9	PRJNA731249	no
GCA_024151825.1	Chile	2010	ST109	KL9	PRJNA731249	no
GCA_024151845.1	Chile	2013	ST15	KL22	PRJNA731249	no
GCA_024151865.1	Chile	2012	ST15	KL22	PRJNA731249	no
GCA_024151885.1	Chile	2010	ST15	KL22	PRJNA731249	no
GCA_024151895.1	Chile	2011	ST15	KL22	PRJNA731249	no
GCA_024151905.1	Chile	2010	ST15	KL9	PRJNA731249	no
GCA_024151945.1	Chile	2010	ST15	KL9	PRJNA731249	no
GCA_024151965.1	Chile	2011	ST1	KL1	PRJNA731249	no
GCA_024151985.1	Chile	2011	ST1	KL1	PRJNA731249	no
GCA_024152085.1	Chile	2010	ST15	KL22	PRJNA731249	no
GCA_024271825.1	Chile	2012	ST162	KL19	PRJNA731249	no
GCA_024505645.2	Brasil	2021	ST-	KL6	PRJNA677881	no
GCA_024649355.1	Argentina	2021	ST2	KL2	PRJNA866144	no
GCA_024649375.1	Argentina	2016	ST2	KL2	PRJNA866144	no
GCA_025950435.1	Brasil	2021	ST464	KL121	PRJNA677881	no
GCA_025950485.1	Brasil	2021	ST-	KL6	PRJNA677881	no
GCA_025971765.1	Brasil	2021	ST464	KL210	PRJNA677881	no
GCA_025971805.1	Brasil	2021	ST575	KL64	PRJNA677881	no
GCA_025971935.1	Brasil	2020	ST739	KL225	PRJNA677881	no
GCA_026239565.1	Brasil	2021	ST10	KL77	PRJNA677881	no
GCA_026300595.1	Paraguay	2020	ST1	KL1	PRJEB56918	no
GCA_026301315.1	Paraguay	2020	ST15	KL167	PRJEB56918	no
GCA_026302075.1	Paraguay	2020	ST15	KL167	PRJEB56918	no
GCA_026311855.1	Ecuador	2020	ST2	KL2	PRJEB56918	si
GCA_026311875.1	Ecuador	2020	ST2	KL2	PRJEB56918	si
GCA_026318965.1	Paraguay	2020	ST1	KL1	PRJEB56918	no
GCA_026340685.1	Ecuador	2020	ST2	KL2	PRJEB56918	si
GCA_026340785.1	Ecuador	2020	ST2	KL2	PRJEB56918	si
GCA_026340865.1	Ecuador	2020	ST79	KL9	PRJEB56918	no
GCA_026340935.1	Ecuador	2020	ST2	KL2	PRJEB56918	si
GCA_026358375.1	Paraguay	2020	ST25	KL9	PRJEB56918	no
GCA_026358395.1	Paraguay	2020	ST1	KL1	PRJEB56918	no
GCA_026358415.1	Paraguay	2020	ST25	KL14	PRJEB56918	no
GCA_026358455.1	Paraguay	2020	ST512	KL72	PRJEB56918	no
